Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Candy Digital, Inc.",2023-02-26,2022-11-28,2022-11-28,"205 Hudson Street 5th Floor New York, NY, 10013",New York,Layoff,Permanent,Economic,20,39,39
Cayuga Home for Children (Park Ave NYC),2023-01-31,2022-12-01,2022-12-01,"1916 Park Ave  New York, NY, 10037",New York,Closure,Permanent,Economic,13,238,238
"Central Park Boat House, LLC (NYC)",2022-10-16,2022-07-15,2022-07-15,"Park Drive North, E 72nd Street  New York, NY, 10021",New York,Closure,Permanent,Economic,51,163,163
CEVA Logistics,2022-07-23,2022-04-27,2022-04-27,"586 Gulf Ave.  Staten Island, NY, 10314",Richmond,,N/A,Due to the loss of contract with IKEA,1,136,136
"City Carting of Westchester, Inc. (4 sites in Westchester County)",2023-02-28,2022-11-28,2022-11-28,"1 A. Stew Leonard Dr  Yonkers, NY, 10710",Westchester,Closure,Permanent,Government Ordered Closing,1,81,81
"City Carting of Westchester, Inc. (4 sites in Westchester County)",2022-05-24,2022-01-25,2022-01-25,"(4 sites in Westchester County)  Yonkers, NY, 10710",Westchester,,N/A,Economic,83,79,79
Convene Operations LLC,2022-12-16,2022-12-16,2022-12-16,"101 Greenwich St.  New York, NY, 10006",New York,Layoff,Permanent,Economic,4,54,54
"Coram, CVS Specialty Infusion Services (Albany)",2022-09-04,2022-06-01,2022-06-01,"12 Jupiter Lane  Albany, NY, 12205",Albany,,N/A,Economic,56,70,70
"Coram, CVS Specialty Infusion Services (Maspeth)",2022-09-04,2022-06-01,2022-06-01,"48-23 55th Avenue  Maspeth, NY, 11378",Queens,,N/A,Economic,57,138,138
Corning Pharmaceutical Technologies,2023-01-11,2022-10-06,2022-10-06,"271 County Road 64  Big Flats, NY, 14814",Chemung,Layoff,Permanent,Relocation of Business,3,51,51
D.V.V.A. Carle Place Restaurant LLC,2022-12-31,2022-09-30,2022-09-30,"440 Old Coutry Road  Carle Place, NY, 11514",Nassau,Closure,Permanent,Economic,35,112,112
Deli-Boy Inc,2022-08-29,2022-06-01,2022-06-01,"100 Matthews Ave.  Syracuse, NY, 13202",Onondaga,,N/A,This decision is based on offering our customers the widest selection of products in the fastest possible time without compromising service levels and being as efficient as possible,1,35,35
"Devachan Hair and Spa, Inc.",2022-06-30,2022-03-31,2022-03-31,"425 Broome St.  New York, NY, 10013",New York,,N/A,Economic,66,42,42
Dylanâs Candy Bar,2022-12-31,2022-10-01,2022-10-01,"20 Times Square, 701 7th Ave  New York, NY, 10036",New York,Layoff,Permanent,Contract Termination,1,58,58
"Dyopath, LLC",2023-03-31,2022-12-28,2022-12-28,"Northwell Health, 400 Lakeville Rd. Suite 42 New Hyde Park, NY, 11040",Nassau,Layoff,Permanent,Economic,2,40,40
Easter Seals NY Monticello site Project Excel,2022-06-30,2022-01-25,2022-01-25,"22 St. John Street  Monticello, NY, 12701",Sullivan,,N/A,Easter Seals New York has made the decision to terminate its lease with the Monticello Central School District and to close its Project Excel program due to ongoing operational challenges,1,46,46
Elmira Savings Bank (2 sites in Elmira),2022-05-13,2022-01-27,2022-01-27,"333 E. Water Street & 971 County Road 64  Elmira, NY, 14901",Chemung,,N/A,Economic,82,33,33
"Envision Physician Services, LLC & Richmond Emergency Medical Association, PLLC (at Richmond University Medical Center)",2022-06-30,2022-04-12,2022-04-12,"355 Bard Ave  Staten Island, NY, 10310",Richmond,,N/A,Contract ended,1,29,29
"Exceeding Expectations, Inc.",2023-01-22,2022-10-24,2022-10-24,"500 Union Avenue  Saratoga Springs, NY, 12866",Saratoga,Closure,Permanent,Economic,30,80,80
Exodus Transitional Community,2022-10-01,2022-09-30,2022-09-30,"Third Avenue  New York, NY, 10035",New York,Closure,Permanent,Economic,36,150,150
Far-Go Logistics LLC,2022-09-15,2022-06-15,2022-06-15,"800 Riverwalk Parkway  Tonawanda, NY, 14150",Erie,,N/A,Result of a company transfer,1,72,72
"Freshly, Inc.",2023-03-09,2022-12-05,2022-12-05,"115 E. 23rd Street Floor 7 New York, NY, 10010",New York,Layoff,Permanent,Economic,12,138,138
"Freshly, Inc.",2022-10-10,2022-07-12,2022-07-12,"115 E. 23rd Street Floor 7 New York, NY, 10010",New York,Closure,Permanent,Economic,53,48,48
Fridge No More Inc. (31 NYC sites),2022-03-10,2022-03-10,2022-03-10,"  New York, NY, 10020",New York,,N/A,Due to lack of funding and a potential buyer not moving forward with the asset purchase of the business,1,671,671
"G2 Secure Staff, LLC",2022-05-15,2022-03-31,2022-03-31,"at JFK International Airport   Jamaica, NY, 11430",Queens,,N/A,unforeseeable business circumstances resulting from the loss of a contract business to Eulen America,1,30,30
Garnet Health Doctors (5 Mid-Hudson sites),2022-11-09,2022-08-09,2022-08-09,"707 East Main Street  Middletown, NY, 10940",Orange,Closure,Permanent,Economic,49,29,29
Get Heal Inc. & Heal Doctors P.C.with Humana at Home Inc.,2023-03-16,2022-12-15,2022-12-15,"254 36th Street Building #2, Suite 314S Brooklyn, NY, 11232",Kings,Closure,Permanent,Economic,7,60,60
GF's Fab 8 - Malta Site (@ Global Foundries),2023-03-17,2022-12-16,2022-12-16,"400 Stonebreak Road Ext.  Malta, NY, 12020",Saratoga,Layoff,Permanent,Economic,5,221,221
GF's Fab 10 - East Fishkill Site (@ Global Foundries),2023-03-17,2022-12-16,2022-12-16,"2070 Route 52  Hopewell Junction, NY, 12533",Dutchess,Layoff,Permanent,Economic,3,18,18
"Gimme Dat Money, LLC (Desus & Mero Show)",2022-08-15,2022-08-01,2022-08-01,"481 8th Ave  New York, NY, 10001",New York,Closure,Permanent,Other,4,73,73
GlobalFoundries U.S. 2 LLC (East Fishkill 300mm Fab),2022-12-31,2022-09-28,2022-09-28,"2070 NY-52  Hopewell Junction, NY, 12533",Dutchess,Layoff,Permanent,Sale of Business,2,"1,056","1,056"
"HHC 33 Peck Slip Holdings, LLC",2023-01-09,2022-10-11,2022-10-11,"33 Peck Slip  New York, NY, 10038",New York,Closure,Permanent,Sale of Business,1,80,80
Hillside Childrenâs Center- Stillwater Campus,2022-03-31,2022-01-11,2022-01-11,"638 Squirrel Hill Rd  Chenango Forks, NY, 13746",Broome,,N/A,Economic,84,43,43
HMS Host,2023-01-01,2022-09-30,2022-09-30,"John F. Kennedy International Airport, Terminal 8  Jamaica, NY, 11430",Queens,Closure,Permanent,Contract Termination,2,155,155
Housing Works Inc. (at Holiday Inn & Marriot Towne Suites,2022-05-22,2022-04-15,2022-04-15,"Holiday Inn 538 West 48th Street, Marriot Towne Suites, 38-42 11th Street  New York, Long Island City, NY, 10036",New York,,N/A,Due to the loss of two temporary contracts with the New York City Department of Homeless Services,1,131,131
"Housing Works, Inc.",2022-12-31,2022-11-30,2022-11-30,"81 Willoughby Street, 2nd Floor  Brooklyn, NY, 11201",Kings,Closure,Permanent,Contract Expiration,1,30,30
"Hu-Friedy Mfg., Co., LLC",2023-03-31,2022-12-22,2022-12-22,"31 Water Street  Cuba, NY, 14727",Allegany,Closure,Permanent,Relocation of Business,1,29,29
Humana at Home Inc.,2023-03-06,2022-12-07,2022-12-07,"200 Old Country Rd Suite 300 Mineola, NY, 11501",Nassau,Closure,Permanent,Economic,9,362,362
Humana at Home Inc.,2023-03-06,2022-12-07,2022-12-07,"445 Hamilton Ave Suite 603 White Plains, NY, 10601",Westchester,Closure,Permanent,Economic,11,56,56
Humana at Home Inc.,2023-03-06,2022-12-07,2022-12-07,"845 Third Ave 7th Floor New York, NY, 10022",New York,Closure,Permanent,Economic,10,585,585
IEH Auto Parts LLC,2023-03-01,2022-12-01,2022-12-01,"29 Elizabeth Dr.  Chester, NY, 10918",Orange,Layoff,Permanent,Economic,15,106,106
IKE Logistics LLC,2022-12-15,2022-09-16,2022-09-16,"1300 Viele Avenue  Bronx, NY, 10474",Bronx,Closure,Permanent,Contract Termination,3,155,155
IKEA US RETAIL LLC,2023-02-01,2022-10-28,2022-10-28,"96-05 Queens Boulevard  Queens, NY, 11374",Queens,Closure,Permanent,Economic,29,78,78
"ImmunityBio, Inc.",2022-09-29,2022-09-29,2022-09-29,"3805 Lake Shore Drive East  Dunkirk, NY, 14048",Chautauqua,Layoff,Permanent,Economic,38,38,38
"Indian Point Energy Center subsidiary of Holtec International; Holtec Decommissioning International, LLC",2023-02-15,2022-10-31,2022-10-31,"450 Broadway  Buchanan, NY, 10511",Westchester,Closure,Permanent,Economic,28,30,30
Intergrow Greenhouses Inc.,2022-12-30,2022-09-29,2022-09-29,"11589 NY-19A  Portageville, NY, 14536",Wyoming,Layoff,Permanent,Economic,40,53,53
"Johnson & Johnson Services, Inc.",2023-01-13,2022-10-14,2022-10-14,"601 West 26th St.  New York, NY, 10001",New York,Layoff,Permanent,Economic,32,64,64
Key Food CS 2 LLC,2022-11-23,2022-08-24,2022-08-24,"35-09 Francis Lewis Boulevard  Bayside, NY, 11358",Queens,Closure,Permanent,Sale of Business,4,54,54
"Key Food CS 3 LLC, dba Food Universe (Jackson Heights)",2022-06-06,2022-03-07,2022-03-07,"75-55 31st Avenue  Jackson Heights, NY, 11370",Queens,,N/A,Sale of Business,5,58,58
Lehigh Cement Company LLC,2023-04-03,2022-12-13,2022-12-13,"313 Warren Street  Glens Falls, NY, 12801",Warren,Closure,Permanent,Economic,8,85,85
MC Packaging Corporation (Farmingdale),2022-06-30,2022-03-31,2022-03-31,"200 Adams Blvd.,  Farmingdale, NY, 11735",Nassau,,N/A,Economic,65,88,88
Medly Health Inc. (HQ & Pharmacy),2022-08-31,2022-08-31,2022-08-31,"31 Debevoise Street  Brooklyn, NY, 11206",Kings,Layoff,Permanent,Economic,45,173,173
Mercer Kitchen LLC,2022-12-18,2022-09-18,2022-09-18,"99 Prince Street  New York, NY, 10012",New York,Closure,Permanent,Economic,44,137,137
Mermaid 88 LLC,2022-10-16,2022-09-30,2022-09-30,"570 Amsterdam Ave  New York, NY, 10024",New York,Closure,Permanent,Expiration of Lease,1,85,85
"Meta Platforms, Inc. (formerly Facebook, Inc.)",2023-02-10,2022-11-09,2022-11-09,"225 Park Ave. South  New York, NY, 10003",New York,Layoff,Permanent,Economic,24,871,871
NYC Health + Hospitals,2022-04-29,2022-03-04,2022-03-04,"50 Water Street  New York, NY, 10041",New York,,N/A,Economic,70,874,874
NYC Health + Hospitals of BronxWorks (Resource Navigator Program),2023-05-16,2022-03-23,2022-03-23,"1130 Grand Concourse  Bronx, NY, 10456",Bronx,Closure,Permanent,Economic,69,40,40
"Packable Holdings, LLC (Pharmapacks, LLC) Multiple Long Island locations",2022-08-22,2022-08-22,2022-08-22,"1516 Motor Parkway  Hauppauge, NY, 11749",Suffolk,Closure,Permanent,Economic,48,456,456
"Packable Holdings, LLC (Pharmapacks, LLC) NYC",2022-08-22,2022-08-22,2022-08-22,"One Penn Plaza Suite 4125 New York, NY, 10119",New York,Closure,Permanent,Economic,47,25,25
"Patina BBG, LLC at Brooklyn Botanic Garden",2023-01-15,2022-10-06,2022-10-06,"990 Washington Ave  Brooklyn, NY, 11225",Kings,Closure,Permanent,Contract Expiration,2,69,69
Peloton Interactive Inc. (Farmingdale),2022-05-09,2022-02-08,2022-02-08,"855 Sea Lane  Farmingdale, NY, 11735",Nassau,,N/A,Economic,75,62,62
Peloton Interactive Inc. (Mount Vernon),2022-05-09,2022-02-08,2022-02-08,"300 East Sandford Blvd  Mount Vernon, NY, 10550",Westchester,,N/A,Economic,77,75,75
Peloton Interactive Inc. (Port Washington),2022-05-09,2022-02-08,2022-02-08,"85 Harbor Road  Port Washington, NY, 11050",Nassau,,N/A,Economic,76,50,50
PharMerica Corporation (Pharmacy),2022-09-30,2022-06-28,2022-06-28,"2355 Union Road, Suite 200  Cheektowaga, NY, 14227",Erie,,N/A,Economic,54,36,36
"Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC",2022-12-30,2022-09-29,2022-09-29,"26 Edward Street  Arcade, NY, 14009",Wyoming,Layoff,Permanent,Economic,41,233,233
"Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC",2022-12-30,2022-09-29,2022-09-29,"325 Daniel Zenker Drive  Horseheads, NY, 14845",Chemung,Layoff,Permanent,Economic,39,102,102
PMI Global Services Inc. & Philip Morris Global Brands Inc. (collectively PMI) (NYC),2022-05-31,2022-07-15,2022-07-15,"120 Park Avenue  New York, NY, 10017",New York,Closure,Permanent,Relocation of Business,4,99,99
"Portmore Delivery Service Corp. (1300 Viele Ave, Bronx)",2022-06-17,2022-03-15,2022-03-15,"1300 Viele Ave  Bronx, NY, 10474",Bronx,,N/A,Contract with Amazon ended,1,60,60
"Preferred Meal Systems, Inc./The Maramont  Corporation",2022-08-16,2022-05-18,2022-05-18,"5600 1st Ave. & 2016 Pitkin Avenue,  Brooklyn, NY, 11220",Kings,,N/A,Economic,59,47,47
Prevost Car (US) Inc.,2022-10-15,2022-07-14,2022-07-14,"260 Banker Road  Plattsburgh, NY, 12901",Clinton,Closure,Permanent,Economic,52,53,53
"Radienz Living, LLC",2023-01-15,2022-10-11,2022-10-11,"105 Emjay Blvd  Brentwood, NY, 11717",Suffolk,Closure,Permanent,Economic,34,145,145
"Ready Responders, Inc.",2022-02-16,2022-02-18,2022-02-18,"600 5th Ave  New York, NY, 10020",New York,,N/A,Economic,72,8,8
"ReOpen Diagnostics, LLC",2022-02-28,2022-12-01,2022-12-01,"45-18 Ct. Square West 2nd Floor  Long Island City, NY, 11101",Queens,Closure,Permanent,Economic,16,185,185
Research Foundation of The City University of New York - Resource Navigator Corps (at the CUNY Graduate School of Public Health & Health Policy),2021-06-30,2022-03-31,2022-03-31,"55 West 125  Street, 7th  Floor Rm 722  New York, NY, 10027",New York,,N/A,Economic,67,75,75
Research Foundation of The City University of New York Resource Navigator Corps (at the CUNY Graduate School of Public Health),2023-05-11,2022-03-28,2023-04-12,"55 West 125th Street, 7th Floor Rm 722  New York, NY, 10027",New York,,N/A,Loss of funding,1,70,70
Reverse Mortgage Funding LLC,2022-11-29,2022-11-29,2022-11-29,"41 Pinelawn Road Suite 200 Melville, NY, 11747",Suffolk,Layoff,Permanent,Economic,18,133,133
Reverse Mortgage Funding LLC,2022-11-29,2022-11-29,2022-11-29,"700 Corporate Blvd Suite 701 Newburgh, NY, 12550",Orange,Layoff,Permanent,Economic,17,254,254
"RHS Wine, LLC (at WSNYC, WS New York Tavern & WS Lifestyle Club)",2022-08-09,2022-05-11,2022-05-11,"37 and 55 Hudson Yards  New York, NY, 10001",New York,,N/A,Transferring management of the business operations to Major Management TCZ LLC,1,66,66
RoundPoint Mortgage Servicing Corporation,2022-10-27,2022-07-29,2022-07-29,"175 Pinelawn Road Suite 400 Melville, NY, 11747",Suffolk,Closure,Permanent,Economic,50,74,74
"RUME Health, LLC",2023-01-20,2022-11-21,2022-11-21,"Remote NY employee  New York, NY, 96248",New York,Layoff,Permanent,Economic,21,1,1
"Sanofi US (Kadmon Holdings, Inc.)",2022-07-01,2022-03-31,2022-03-31,"450 East 29th St.  New York, NY, 10016",New York,,N/A,Economic,68,25,25
"Sanzo Beverage Company, Inc.",2022-11-14,2022-09-16,2022-09-16,"3165 Route 16 N.  Olean, NY, 14760",Cattaraugus,Closure,Permanent,Sale of Business,3,48,48
Sheltering Arms Children Family Services,2022-12-31,2022-09-29,2022-09-29,"565 Morris Avenue  Bronx, NY, 10451",Bronx,Closure,Permanent,Economic,37,105,105
"Signify Health, LLC (Episodes of Care Services Operations)",2022-10-01,2022-07-29,2022-07-29,"685 3rd Avenue 2nd Floor New York, NY, 10017",New York,Layoff,Permanent,Other,5,92,92
Silgan Containers Manufacturing Corporation,2022-09-02,2022-06-02,2022-06-02,"8673 Lyons Marengo Rd.  Lyons, NY, 14489",Wayne,,N/A,Due to Loss of customer base,1,65,65
Slant/Fin Corporation,2022-06-30,2022-03-31,2022-03-31,"100 Forest Dr #1295  Greenvale, NY, 11548",Nassau,,N/A,Due to economic climate,1,122,122
Slantco Manufacturing Co. Inc.,2022-05-15,2022-01-28,2022-01-28,"40 Garvies Point Road  Glen Cove, NY, 11542",Nassau,,N/A,Due to the ceasing of the company s production and other aspects of its baseboard lines operations,1,16,16
"Sodexo, Inc.  (at SUNY Polytechnic Institute) (Utica)",2022-06-30,2022-06-21,2022-06-21,"100 Seymour Rd,  Utica, NY, 13502",Oneida,,N/A,Termination of contract,1,63,63
Specialty Welding and Fabricating of New York Inc.,2023-03-01,2022-12-01,2022-12-01,"1025 E Hiawatha Blvd  Syracuse, NY, 13208",Onondaga,Closure,Permanent,Economic,14,62,62
Stafkings of Binghamton Inc. (Voyant Beauty LLC sites in Cortland),2022-09-30,2022-08-24,2022-08-24,"37 Huntington St.  Cortland, NY, 13045",Cortland,Closure,Permanent,Contract Loss,2,110,110
"Starry, Inc.",2022-10-21,2022-10-20,2022-10-20,"180 Maiden Lane #1003 New York, NY, 10038",New York,Layoff,Permanent,Economic,31,49,49
"Strides Pharma, Inc.",2023-03-31,2022-10-28,2022-10-28,"Chestnut Ridge Plant, 1 Ram Ridge Road  Chestnut Ridge, NY, 10977",Rockland,Layoff,Permanent,Other,1,88,88
"Take-Two Interactive Software, Inc.",2023-01-09,2022-10-11,2022-10-11,"Playdots facility, 416 W 13th Street  New York, NY, 10014",New York,Closure,Permanent,Economic,33,65,65
"Teacher Synergy, LLC (Teachers Pay Teachers)",2023-03-28,2022-03-28,2023-04-12,"111 East 18th Street  New York, NY, 10003",New York,,N/A,Eonomic,1,71,71
"The Avo Shopping Company, Inc",2022-05-06,2022-04-28,2022-04-28,"41-38 37th Street  Long Island City, NY, 10111",Queens,,N/A,Restructuring,1,146,146
The First Republic Corporation of America,2022-12-22,2022-09-22,2022-09-22,"441 Electronics Parkway  Liverpool, NY, 13088",Onondaga,Closure,Permanent,Other,3,123,123
The Fund for the City of New York (one Center for Court Innovation partner project site-Hempstead),2022-04-30,2022-01-28,2022-01-28,"Nassau County District Court, 99 Main Street, RM LL87  Hempstead, NY, 11550",Nassau,,N/A,Economic,78,1,1
The Fund for the City of New York (one Center for Court Innovation partner project site-Syracuse),2022-04-30,2022-01-28,2022-01-28,"CCI Upstate Office, One Park Place, 300 South State Street  Syracuse, NY, 13202",Onondaga,,N/A,Economic,80,14,14
The Fund for the City of New York (one Center for Court Innovation partner project site-White Plains),2022-04-30,2022-01-28,2022-01-28,"Westchester Family Court, 111 Dr. Martin Luther King Jr. Blvd.  White Plains, NY, 10601",Westchester,,N/A,Economic,81,2,2
The Fund for the City of New York (several Center for Court Innovation partner project sites-New York City),2022-04-30,2022-01-28,2022-01-28,"  New York, NY, 11216",New York,,N/A,Economic,79,752,752
The New Jewish Home,2023-03-31,2022-12-30,2022-12-30,"120 West 106th Street  New York, NY, 10025",New York,Layoff,Permanent,Economic,1,172,172
The Research Foundation for the State University of New York at Downtown Health Sciences University - ICLC,2022-08-31,2022-05-25,2022-05-25,"670 Parkside Avenue  Brooklyn, NY, 11226",Kings,,N/A,Economic,58,26,26
The Stewart Hotel,2022-10-07,2022-07-06,2022-07-06,"371 7th Avenue  New York, NY, 10001",New York,Closure,Permanent,Other,6,158,158
"Total Fire Protection, Inc.",2023-01-02,2022-11-02,2022-11-02,"5322 Avenue N  Brooklyn, NY, 11234",Kings,Closure,Permanent,Relocation of Business,2,61,61
"Transit Management of Dutchess County (subsidiary of First Transit, Inc.)  (Poughkeepsie)",2022-04-30,2022-01-28,2022-01-28,"14 Commerce Street  Poughkeepsie, NY, 12603",Dutchess,,N/A,Expiration of contract,1,93,93
"Transportation Insight, LLC (Phase 3)",2022-04-08,2022-01-06,2022-01-06,"5251 Shawnee Road  Sanborn, NY, 14132",Niagara,,N/A,Business acquisition and consolidation of operations,1,10,10
"Twitter, Inc.",2023-02-02,2022-11-04,2022-11-04,"249 W. 17th St.  New York, NY, 10011",New York,Layoff,Permanent,Economic,26,418,418
Ultra Seal Corporation,2022-11-11,2022-08-11,2022-08-11,"521 Main Street  New Paltz, NY, 12561",Ulster,Layoff,Permanent,Government Ordered Closing,2,86,86
"Volunteers of America-Greater New York, Inc.",2023-01-01,2022-11-16,2022-11-16,"25 Operations Drive  Valhalla, NY, 10595",Westchester,Closure,Permanent,Contract Loss,1,35,35
Voyant Beauty LLC,2023-03-31,2022-08-23,2022-08-23,"106 Central Avenue  Cortland, NY, 13045",Cortland,Closure,Permanent,Economic,46,320,320
"VSP Optical Group, Inc. (VSPOne)",2022-09-29,2022-06-24,2022-06-24,"35 Hub Drive, Suite 100  Melville, NY, 11747",Suffolk,,N/A,To increase the efficiency of the company s manufacturing business,1,20,20
WB Frozen US LLC (formerly Weston Foods US LLC) Frankfort Bakery,2022-05-23,2022-02-22,2022-02-22,"178 Industrial Park Drive  Frankfort, NY, 13340",Herkimer,,N/A,Economic,71,206,206
Weiss Instruments LLC,2022-06-30,2022-04-01,2022-04-01,"905 Waverly Ave  Holtsville, NY, 11742",Suffolk,,N/A,Sale of the business and transferring of operations to Clemens MI,1,54,54
"Wells Enterprises, Inc. (Dunkirk Ice Cream Plant)",2022-12-31,2022-09-19,2022-09-19,"1 Ice Cream Drive  Dunkirk, NY, 14048",Chautauqua,Layoff,Permanent,Economic,43,183,183
"Wild Ink, Restaurant",2022-12-17,2022-09-15,2022-09-15,"500 W 33rd Street  New York, NY, 10001",New York,Closure,Permanent,Expiration of Lease,2,89,89
"Williamsburg Northside School, LLC",2023-07-01,2022-11-11,2022-11-11,"299 North 7th Street  Brooklyn, NY, 11211",Kings,Closure,Permanent,Economic,23,42,42
