Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
Citishare Corp.,2024-06-29,2024-03-29,2024-04-01,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,80,1,1
"Cold Spring Acquisition, LLC",2025-02-15,2024-12-17,2025-01-27,"378 Syosset-Woodbury Road  Woodbury, NY, 11797",Nassau,Closure,Permanent,Economic Funding Loss,1,490,490
Columbian Mutual Life Insurance Company,2024-09-03,2024-06-04,2024-06-05,"507 Plum Street  Syracuse, NY, 13204",Onondaga,Layoff,Permanent,Other,20,6,6
Columbian Mutual Life Insurance Company,2024-09-03,2024-06-04,2024-06-05,"4704 Vestal Parkway East  Vestal, NY, 13850",Broome,Layoff,Permanent,Other,19,64,64
"COMEDY TECHNOLOGIES, INC.",2024-05-08,2024-02-08,2024-02-09,"142 W 36th St 6th FL New York, NY, 10018",New York,Closure,Permanent,Economic Other,4,60,60
"Comfortex Corporation d/b/a Hunter Douglas, Inc",2024-07-23,2024-04-23,2024-04-24,"21 Elm Street  Watervliet, NY, 12189",Albany,Closure,Permanent,Economic,71,85,85
Compass Group USA - BenchConnect,2024-07-02,2024-04-02,2024-04-16,"62-01 34th Avenue  Woodside, NY, 11377",Queens,Closure,Permanent,Contract Loss,32,4,4
Concorde Express Inc.,2024-10-29,2024-10-29,2024-12-11,"5 Warehouse Lane  Elmsford, NY, 10523",Westchester,Closure,Permanent,Contract Termination,1,59,59
"Conduent State & Local Solutions, Inc.",2024-04-25,2024-01-24,2024-01-31,"15 Oak Hill Rd.  Endicott, NY, 13760",Broome,Layoff,Permanent,Economic,114,93,93
"Conduent State & Local Solutions, Inc.",2024-04-25,2024-01-23,2024-01-31,"1150 South Ave  Staten Island, NY, 10314",Richmond,Layoff,Permanent,Economic,115,294,294
Corelle Brands,2024-07-22,2024-07-22,2024-07-31,"One Steuben Street  Corning, NY, 14830",Steuben,Layoff,Temporary,Other,13,46,46
Corning Incorporated,2024-05-19,2024-02-14,2024-02-15,"792 Addison Road  Painted Post, NY, 14870",Steuben,Layoff,Permanent,Economic Other,3,71,71
Corning Incorporated (Corning Museum of Glass),2024-04-21,2024-01-19,2024-01-25,"1 Museum Way  Corning, NY, 14830",Steuben,Layoff,Permanent,Economic,118,42,42
"Council on the Environment, Inc.",2024-06-20,2024-02-20,2024-02-20,"100 Gold St. Suite 3300 New York, NY, 10038",New York,Closure,Permanent,Contract Loss,45,96,96
"Crane Stationery, LLC",2024-02-16,2024-02-12,2024-02-16,"461 Saratoga St.  Cohoes, NY, 12047",Albany,Closure,Permanent,Sale of Business,8,76,76
Crosman Corporation,2024-09-15,2024-06-17,2024-06-17,"7629 Routes 5 & 20  Bloomfield, NY, 14469",Ontario,Closure,Permanent,,1,112,112
"Crucible Industries, LLC",2025-04-03,2024-12-05,2025-06-24,"575 State Fair Blvd.  Solvay, NY, 13209",Onondaga,Closure,Permanent,Economic,3,158,158
CVS Health (Mohawk Valley),2024-08-17,2024-05-14,2024-05-14,"8411 Seneca Turnpike Suite 104 New Hartford, NY, 13413",Oneida,Closure,Permanent,Other,30,27,27
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"25 Seymour Lane  Westmoreland, NY, 13490",Oneida,Layoff,Permanent,Other,26,8,8
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"84 Industrial Tract Road  Hudson, NY, 12534",Columbia,Layoff,Permanent,Other,22,5,5
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"105 Commerce Road  Oneonta, NY, 13820",Otsego,Layoff,Permanent,Other,28,6,6
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"125-127 Bracken Road  Montgomery, NY, 12549",Orange,Layoff,Permanent,Other,27,7,7
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"193 Perry Road  Saratoga Springs, NY, 12866",Saratoga,Layoff,Permanent,Other,29,8,8
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"274 Junction Road  Malone, NY, 12953",Franklin,Layoff,Permanent,Other,24,5,5
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"1885 Lorings Crossing Road  Cortland, NY, 13045",Cortland,Layoff,Permanent,Other,23,4,4
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"2504 South Dow Street  Jamestown, NY, 14701",Chautauqua,Layoff,Permanent,Other,21,9,9
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-09-23,2024-09-23,"4465 Walden Avenue  Lancaster, NY, 14068",Erie,Layoff,Permanent,Other,8,15,15
