Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"396 Federal Plaza  Central Islip, NY, 11722",Suffolk,Closure,Permanent,Contract Loss,22,31,31
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"445 Broadway  Albany, NY, 12207",Albany,Closure,Permanent,Contract Loss,14,17,17
Charter Communications LLC,2023-10-26,2023-07-26,2023-08-14,"6005 Fair Lakes Rd  Syracuse, NY, 13057",Onondaga,Closure,Permanent,Other,10,273,273
"Citibank, N.A.",2024-02-02,2023-11-03,2024-02-27,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,6,239,239
"Citigroup Global Markets, Inc.",2024-02-02,2023-11-03,2024-02-27,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,5,44,44
"Citigroup Technology, Inc.",2024-02-02,2023-11-03,2024-02-27,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,4,3,3
"Cloud Software Group, Inc.",2023-04-10,2023-01-10,2023-01-10,"120 W. 45th Street Tower 45 New York, NY, 10036",New York,Layoff,Permanent,Economic,104,50,50
"Compass Group USA, Inc. d/b/a Chartwells at Manhattanville College",2023-07-14,2023-06-07,2023-06-09,"2900 Purchase St.  Purchase, NY, 10577",Westchester,Closure,Permanent,Contract Loss Contract Termination,1,54,54
CORE Development Company,2023-10-31,2023-10-23,2023-11-13,"558 West 184th Street  New York, NY, 10033",New York,,Permanent,Economic,18,5,5
"Create Restaurants NY, Inc.",2023-03-31,2023-03-31,2023-04-12,"45 E. 20th Street,  New York City, NY, 10003",New York,Closure,Permanent,Economic,81,57,57
Creatively Designed Products LLC,2023-05-30,2023-03-02,2023-03-02,"250 Creative Dr.  Central Islip, NY, 11722",Suffolk,Layoff,Permanent,Relocation of Business,6,75,75
Credit Suisse Securities (USA) LLC,2023-09-10,2023-06-12,2023-10-11,"11 Madison Avenue  New York, NY, 10010",New York,Layoff,Permanent,Other,6,254,254
"Critical Ideas, Inc.",2023-02-17,2023-02-16,2023-02-16,"Remote NY employees  New York City, CA, 94104",New York,Layoff,Permanent,Economic,92,3,3
CVS Health (New York City),2023-10-21,2023-08-18,2023-08-18,"161 Avenue of the Americas  NY, NY, 10013",New York,Layoff,Permanent,Other,9,169,169
"Cygnus Home Service, LLC d/b/a Yelloh",2024-03-11,2023-12-11,2024-01-25,"450 Mile Crossing Blvd.  Rochester, NY, 14624",Monroe,Layoff,Permanent,Economic,7,3,3
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"26 West 40th Street.,12th Floor  New York, NY, 10010",New York,Closure,Permanent,Sale of Business,15,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"45 West 25th Street.  New York, NY, 10010",New York,Closure,Permanent,Sale of Business,16,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"108 Alexander Avenue  Lake Grove, NY, 11755",Suffolk,Closure,Permanent,Sale of Business,20,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"400 Route 211 East Ste 7  Middletown, NY, 10940",Orange,Closure,Permanent,Sale of Business,18,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"1204 Niagara Falls Blvd.  Tonowanda, NY, 14150",Erie,Closure,Permanent,Sale of Business,10,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"1250 Corporate Drive  Westbury, NY, 11590",Nassau,Closure,Permanent,Sale of Business,13,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"1440 Central Avenue  Colonie, NY, 12205",Albany,Closure,Permanent,Sale of Business,8,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"2572 Central Park Avenue  Yonkers, NY, 10710",Westchester,Closure,Permanent,Sale of Business,21,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"3133 Erie Boulevard East  Syracuse, NY, 13057",Onondaga,Closure,Permanent,Sale of Business,17,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"3333 West Henrietta Road  Rochester, NY, 14623",Monroe,Closure,Permanent,Sale of Business,12,34,34
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"3345 Chambers Road South, Ste 8  Horesheads, NY, 14848",Chemung,Closure,Permanent,Sale of Business,9,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"3670 McKinley Pkwy. Space 5A  Blasdell, NY, 14219",Erie,Closure,Permanent,Sale of Business,11,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"5290 Sunrise Avenue  Massapequa Park, NY, 11762",Nassau,Closure,Permanent,Sale of Business,14,,
"David's Bridal, LLC",2023-04-14,2023-04-14,2023-05-04,"Plaza 48, 3460 48th Street  Long Island City, NY, 11101",Queens,Closure,Permanent,Sale of Business,19,475,475
"Dentsply Sirona, Inc.",2024-09-30,2023-04-24,2024-08-07,"3030 47th Avenue Suite 500 Long Island City, NY, 11101",Queens,Closure,Permanent,Economic,3,63,63
Deutsch Inc.,2023-12-31,2023-09-28,2023-10-02,"387 Park Ave South  New York, NY, 10016",New York,Layoff,Permanent,Economic,29,41,41
"Distinctive Maintenance Company, Inc.",2023-05-15,2023-04-17,2023-05-03,"170-02 93rd Ave  Jamaica, NY, 11435",Queens,Layoff,Permanent,Contract Loss,34,7,7
"Distinctive Maintenance Company, Inc.",2023-05-15,2023-04-17,2023-05-03,"211 Crown Street  Brooklyn, NY, 11255",Kings,Layoff,Permanent,Contract Loss,33,11,11
"Distinctive Maintenance Company, Inc.",2023-05-15,2023-04-17,2023-05-03,"2008 Westchester Ave  Bronx, NY, 10462",Bronx,Layoff,Permanent,Contract Loss,31,7,7
"Distinctive Maintenance Company, Inc.",2023-05-15,2023-04-17,2023-05-03,"4289 Park Avenue  Bronx, NY, 10457",Bronx,Layoff,Permanent,Contract Loss,32,11,11
Divvy Homes Inc.,2023-11-07,2023-09-07,2023-09-13,"New York Remote Employees  New York, NY, 10001",New York,Layoff,Permanent,,1,5,5
DYJ Logistics LLC,2023-10-21,2023-09-27,2023-10-11,"1055 Bronx River Ave.  Bronx, NY, 10472",Bronx,Closure,Permanent,Economic Other,6,112,112
Eastern Niagara Hospital,2023-06-17,2023-03-16,2023-03-16,"521 East Avenue & 5875 S. Transit Road  Lockport, NY, 14094",Niagara,Closure,Permanent,Economic,86,337,337
"ECR International, Inc",2024-03-31,2023-10-06,2023-10-06,"2201 Dwyer Ave  Utica, NY, 13501",Oneida,Layoff,Permanent,Other,7,40,40
"Envision Physicians Services, LLC",2023-06-14,2023-03-29,2023-04-12,"315 S Manning Blvd  Albany, NY, 12208",Albany,Layoff,Permanent,Contract Loss,37,167,167
"Enzo Clinical Labs, Inc.",2023-07-17,2023-04-20,2023-05-03,"21 Executive Blvd  Farmingdale, NY, 11735",Nassau,Layoff,N/A,Economic,67,,
"Enzo Clinical Labs, Inc.",2023-07-17,2023-04-20,2023-05-03,"60 Executive Blvd.  Farmingdale, NY, 11735",Nassau,Layoff,Permanent,Economic,68,175,175
"Enzo Clinical Labs, Inc.",2023-07-17,2023-04-20,2023-05-03,"81 Executive Blvd Suite 3 Farmingdale, NY, 11735",Nassau,Layoff,Permanent,Economic,69,,
"Equiniti Trust Company, LLC",2023-12-31,2023-09-28,2023-09-29,"6201 15th Ave  Brooklyn, NY, 11219",Kings,Layoff,Permanent,Expiration of Lease,1,85,85
Essity Professional Hygiene North America LLC,2023-07-20,2023-07-20,2023-07-20,"1 River Street  South Glens Falls, NY, 12803",Saratoga,Closure,Permanent,Other,11,186,186
Essity Professional Hygiene North America LLC,2023-07-20,2023-11-01,2023-11-01,"72 County Road 53  Greenwich, NY, 12834",Washington,Closure,Permanent,Other,4,90,90
"Fallon Health Weinberg, Inc.",2023-12-15,2023-07-20,2023-08-14,"461 John James Audubon Prkway  Amherst, NY, 14228",Erie,Closure,Permanent,Government Ordered Closing,1,31,31
"Fedcap, Inc.",2023-06-30,2023-05-24,2023-05-31,"92-31 Union Hall Street 4th Floor Jamaica, NY, 11433",Queens,Closure,Permanent,Contract Loss,26,33,33
First Savings Bank,2023-12-28,2023-09-29,2023-10-02,"Remote employees  Manorville & Long Beach (11561), NY, 11949",Suffolk,Layoff,Permanent,Economic,28,2,2
Firstlocum Inc. d/b/a Directshifts,2024-01-01,2023-12-31,2024-01-02,"29 Ryerson St.  Brooklyn, NY, 11205",Kings,Layoff,Permanent,Contract Termination,1,15,15
Firstlocum Inc. d/b/a Directshifts,2024-01-01,2023-12-31,2024-01-02,"47 Hall Street  Brooklyn, NY, 11205",Kings,Layoff,Permanent,Contract Termination,2,14,14
Firstlocum Inc. d/b/a Directshifts,2024-01-01,2023-12-31,2024-01-02,"700 8th avenue  New York, NY, 10036",New York,Layoff,Permanent,Contract Termination,4,119,119
Firstlocum Inc. d/b/a Directshifts,2024-01-01,2023-12-31,2024-01-02,"3159 Flatbush Ave  Brooklyn, NY, 11234",Kings,Layoff,Permanent,Contract Termination,3,29,29
Fischbach USA Inc.,2023-08-01,2023-05-01,2023-05-04,"2 Van Buren Blvd Northeastern Industrial Park Guilderland Center, NY, 12085",Albany,Closure,Permanent,Economic,65,27,27
"Flatiron Health, Inc.",2023-09-05,2023-06-07,2023-06-12,"233 Spring Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,58,39,39
Forman Mills,2023-09-03,2023-06-05,2023-06-23,"3036 Third Ave  Bronx, NY, 10455",Bronx,Closure,Permanent,Economic,55,0,0
Gamma North Corporation,2023-10-29,2023-07-28,2023-08-02,"13995 Broadway Street  Alden, NY, 14004",Erie,Closure,Permanent,Economic,46,85,85
Gannett (Rochester Democrat & Chronicle),2023-04-10,2023-01-04,2023-01-04,"301 Longleaf Boulevard  Greece, NY, 14626",Monroe,Closure,Permanent,Economic,106,111,111
"Garyline, LLC",2024-03-15,2023-12-15,2023-12-19,"1340 Viele Avenue  BRONX, NY, 10474",Bronx,Closure,Permanent,Relocation of Business,1,543,543
"Genesis Global Trading, Inc.",2023-09-01,2023-09-06,2023-09-08,"250 Park Avenue South 5th Floor New York, NY, 10003",New York,Layoff,Permanent,Economic,34,47,47
GOGO Magnolia Venture LLC,2023-07-11,2023-04-11,2023-05-03,"245 Roger's  Way  Westhampton Beach, NY, 11978",Suffolk,Closure,Permanent,Economic,74,75,75
"Goldman, Sachs & Co., LLC",2023-04-13,2023-01-09,2023-01-09,"200 West Street  New York, NY, 10282",New York,Layoff,Permanent,Economic,105,612,612
Google,2023-04-28,2023-01-20,2023-01-20,"111 8th Ave  New York, NY, 10001",New York,Layoff,Permanent,Economic,99,887,887
"Greenwich Foods, LLC",2023-05-31,2023-05-16,2023-05-19,"14 East 47th Street  New York, NY, 10017",New York,Closure,Permanent,Sale of Business,4,39,39
"GXO Warehouse Company, Inc.",2023-12-31,2023-09-28,2023-10-04,"370 Initiative Drive  Rochester, NY, 14624",Monroe,Closure,Permanent,Economic,27,35,35
"Henegan Construction Co., Inc.",2023-03-24,2023-03-16,2023-05-03,"250 West 30th Street  New York, NY, 10001",New York,Closure,Permanent,Economic,70,55,55
Hilton JFK Hotel,2023-06-01,2023-03-01,2023-03-01,"144-02 135th Ave.  Jamaica, NY, 11436",Queens,Closure,Permanent,Economic,89,111,111
HITPS LLC,2023-06-01,2023-06-01,2023-06-02,"2 Park Avenue 10 FL New York, NY, 10016",New York,Layoff,Permanent,Economic,59,251,251
HMSHost - Concourse A,2024-03-24,2023-12-15,2024-01-10,"LaGuardia Airport HMSHost Lounge at  Concourse A 2-15 26th Avenue Astoria, NY, 11102",Queens,Closure,Permanent,Contract Expiration,1,51,51
HMSHost at JFK Airport in Concourse C,2024-03-17,2023-12-06,2023-12-15,"JFK Expressway & South Cargo Road  Jamaica, NY, 11430",Queens,Closure,Permanent,Economic,14,29,29
Home Clean Home,2023-06-30,2023-05-04,2023-05-18,"1323 East 15 Street  Brooklyn, NY, 11230",Kings,Layoff,Permanent,Contract Loss,28,75,75
Housing Works Inc.,2023-05-15,2023-04-07,2023-04-13,"38-59 12th Street  Long Island City, NY, 11101",Queens,Closure,Permanent,Contract Loss,35,47,47
ImmunityBio Inc.,2023-11-16,2023-08-18,2025-10-10,"3805 Lake Shore Drive E.  Dunkirk, NY, 14048",Chautauqua,Layoff,Permanent,Economic,1,2,2
IMPELLET INC,2023-12-23,2023-12-07,2023-12-08,"55-15 Grand Ave  Queens, NY, 11378",Queens,Closure,Permanent,Other,1,149,149
"Indian Point Energy Center, Holtec Decommissioning International,LLC, Holtec Security International , LLC",2023-12-29,2023-09-22,2023-10-05,"450 Broadway  Buchanan, NY, 10511",Westchester,Layoff,Permanent,Economic,26,138,138
"Interstate Management Company, LLC",2023-10-10,2023-10-06,2023-10-16,"510 West 42nd Street  New York, NY, 10036",New York,Closure,Permanent,Economic,24,36,36
"JAIN IRRIGATION, INC",2023-08-21,2023-05-17,2023-05-18,"740 Water Street  Watertown, NY, 13601",Jefferson,Closure,Permanent,Economic Merger,4,47,47
Lev Inc.,2023-04-24,2023-04-24,2023-05-02,"233 Spring St, 4th Floor  New York, NY, 10013",New York,Layoff,Permanent,Economic,76,34,34
Life Storage,2023-07-20,2023-06-12,2023-06-13,"6467 Main Street  Williamsville, NY, 14221",Erie,Layoff,Permanent,Merger,1,177,177
Lincoln Hall Boys Haven,2024-01-24,2023-10-26,2023-11-21,"145 Route 202  Lincolndale, NY, 10540",Westchester,Layoff,Permanent,Funding Loss,2,50,50
Lincoln Hall Boys Haven,2024-01-24,2023-10-26,2023-11-21,"620 Erie Blvd West Suite 1111 Syracuse, NY, 13204",Onondaga,Layoff,Permanent,Funding Loss,1,2,2
Los Angeles Times Communications LLC,2023-08-14,2023-06-07,2023-06-12,"Remote NY employee  New York, NY, 10001",New York,Layoff,Permanent,,2,3,3
lululemon usa inc.,2023-12-27,2023-09-27,2023-09-29,"1261 Broadway Room 200 New York, NY, 10001",New York,Layoff,Permanent,Economic,30,119,119
Lutheran Social Services of Upstate New York Inc.,2024-02-13,2023-11-15,2023-11-16,"715 Falconer Street  Jamestown, NY, 14701",Chautauqua,Closure,Permanent,Other,2,106,106
Management & Training Corporation (MTC) - New York Job Corps Center Wrap Around Services,2023-09-30,2023-08-24,2023-08-24,"1771 Andrews Ave S  New York, NY, 10453",Bronx,Layoff,Permanent,Contract Loss,11,124,124
Management & Training Corporation (MTC) - New York Job Corps Center Wrap Around Services,2023-09-30,2023-08-24,2023-08-24,"Brooklyn Job Corps Center 585 Dekalb Ave. Brooklyn, NY, 11205",Kings,Layoff,Permanent,Contract Loss,13,44,44
Management & Training Corporation (MTC) - New York Job Corps Center Wrap Around Services,2023-09-30,2023-08-24,2023-08-24,"South Bronx Job Corps Center 369 E 149th St Bronx, NY, 10453",Bronx,Layoff,Permanent,Contract Loss,12,3,3
"Marin In NYC, LLC",2024-02-10,2023-11-07,2023-11-16,"653 11th Ave  New York, NY, 10036",New York,Closure,Permanent,COVID 19 Economic,1,103,103
MasTec Industrial,2023-11-03,2023-10-24,2023-10-30,"250 McLaughlin Rd  Rochester, NY, 14615",Monroe,Layoff,Permanent,Contract Termination,14,102,102
MBJ Cafeteria Corp,2024-01-01,2023-12-07,2024-01-16,"524 W 59th Street  New York, NY, 10019",New York,Closure,Permanent,Contract Loss,1,22,22
McConner Street Holding LLC,2023-05-31,2023-05-16,2023-05-19,"3549 Broadway  New York, NY, 10033",New York,Closure,Permanent,Sale of Business,5,66,66
McKesson Medical-Surgical Inc,2023-11-03,2023-06-19,2023-06-22,"2404 Innovation Way  Rochester, NY, 14624",Monroe,Layoff,Permanent,Relocation of Business,4,26,26
Medaille University (Finger Lakes Region),2023-07-31,2023-05-01,2023-05-04,"1880 S. Winton Road  Rochester, NY, 14618",Monroe,Closure,Permanent,Sale of Business,22,7,7
Medaille University (Western Region),2023-07-31,2023-05-01,2023-05-04,"18 Agassiz Circle  Buffalo, NY, 14214",Erie,Closure,Permanent,Sale of Business,23,412,412
"Melvindale NY, LLC",2023-02-12,2023-02-03,2023-02-03,"45 Bond Street  New York, NY, 10012",New York,Closure,Permanent,Fire,1,81,81
