Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"CLSA Americas, LLC",2017-02-27,2017-03-03,2017-03-03,"1301 Avenue of the Americas  New York, NY, 10019",New York,,N/A,Economic,215,63,63
Command Security Corp. d/b/a Aviation Safeguards,2017-03-27,2017-01-06,2017-01-06,"Terminal 7 at JFK Airport  Jamaica, NY, 11430",Queens,,N/A,Contractual termination,1,63,63
Command Security Corporation (FedEx Express contract at JFK Int'l Airport),2017-08-31,2017-07-18,2017-07-18,"JFK International  Airport  Jamaica, NY, 11430",Queens,,N/A,Loss of contract,2,46,46
Command Security Corporation (for Niagara Frontier Transportation Authority) - Cheektowaga,2017-06-30,2017-06-01,2017-06-01,"Buffalo Niagara International Airport - 4200 Genesee Street  Cheektowaga, NY, 14225",Erie,,N/A,Contract loss,2,34,34
Command Security Corporation (for Niagara Frontier Transportation Authority) - Wheatfield,2017-06-30,2017-06-01,2017-06-01,"Niagara Falls International Airport - 2035 Niagara Falls Boulevard (Otis Drive Terminal)  Wheatfield, NY, 14120",Niagara,,N/A,Contract loss,3,1,1
"Community Care Organization, Inc.",2017-08-31,2017-06-02,2017-06-02,"5800 Third Avenue  Brooklyn, NY, 11220",Kings,,N/A,Economic,166,262,262
"Community Program Centers of Long Island, Inc. (Early Discoveries Center Childcare program)",2017-06-30,2017-03-29,2017-03-29,"2210 Smithtown Avenue  Ronkonkoma, NY, 11779",Suffolk,,N/A,Economic,199,33,33
ComplexCare Solutions Medical Practice,2017-03-03,2017-02-28,2017-02-28,"55 Broad St.  New York, NY, 10004",New York,,N/A,Loss of contract,5,113,113
Concentrix Corporation,2017-12-31,2017-10-02,2017-10-02,"3750 Monroe Avenue  Pittsford, NY, 14534",Monroe,,N/A,Economic,58,192,192
"Conduent Incorporated - Conduent Business Services, LLC.(Rochester)",2017-09-28,2017-06-30,2017-06-30,"100 Clinton Ave South  Rochester, NY, 14644",Monroe,,N/A,Economic,139,59,59
"Conduent Incorporated - Conduent Business Services, LLC.(Webster)",2017-09-28,2017-06-30,2017-06-30,"800 Phillips Rd  Webster, NY, 14580",Monroe,,N/A,Economic,140,129,129
"Contemporary Guidance Services, Inc.",2017-09-30,2017-09-11,2017-09-11,"52 Broadway, 4th Floor  New York, NY, 10004",New York,,N/A,Non renewal of the lease,1,53,53
Craftbar Restaurant,2017-04-30,2017-01-30,2017-01-30,"900 Broadway  New York, NY, 10003",New York,,N/A,Economic,235,70,70
Current Powered by GE- Energy Storage Operating Unit,2017-04-12,2017-01-12,2017-01-12,"1 River Road  Schenectady, NY, 12345",Schenectady,,N/A,Economic,240,41,41
"CVS Pharmacy, Inc.",2018-01-12,2017-10-05,2017-10-05,"520 Larkfield Road  East Northport, NY, 11731",Suffolk,,N/A,Economic,52,27,27
"CVS Pharmacy, Inc. (Office)",2017-05-31,2017-03-02,2017-03-02,"80 Red School House Road, Ste. 226  Chestnut Ridge, NY, 10977",Rockland,,N/A,Economic,220,99,99
"D.F. Stauffer Biscuit, Co.",2017-12-29,2017-09-20,2017-09-20,"8670 Farnsworth Road  Cuba, NY, 14727",Allegany,,N/A,Economic,96,51,51
DAL Global Services (DGS),2017-08-10,2017-05-05,2017-05-05,"1180 1st St.  New Windsor, NY, 12553",Orange,,N/A,loss of contract,1,28,28
DAL Global Services (for Virgin America at JFK Int'l Airport),2017-10-31,2017-07-14,2017-07-14,"John F. Kennedy International Airport  Jamaica, NY, 11430",Queens,,N/A,Loss of contract for Virgin Atlantic,1,49,49
Davis Vision - Manufacturing Plant,2017-05-08,2017-05-08,2017-05-08,"170 Express Street  Plainview, NY, 11803",Nassau,,N/A,Economic,181,151,151
Delft Blue LLC,2017-10-10,2017-07-12,2017-07-12,"36 Garden Street  New York Mills, NY, 13417",Oneida,,N/A,Economic,135,83,83
Duane Reade (Maspeth Distribution Center),2017-04-13,2017-01-13,2017-01-13,"50-02 55th Avenue  Maspeth, NY, 11378",Queens,,N/A,Economic,239,214,214
"Durham School Services, L.P.",2017-07-07,2017-03-24,2017-03-24,"830 S. Pearl Street  Albany, NY, 12202",Albany,,N/A,Loss of Contract,4,216,216
DynaServ Industries Inc.,2017-12-11,2017-09-11,2017-09-11,"5830 64th Street  Maspeth, NY, 11378",Queens,,N/A,Loss of client contract,1,77,77
"East End Bus Lines, Inc.",2017-06-26,2017-03-15,2017-03-15,"3601 Horseblock Road  Medford, NY, 11763",Suffolk,,N/A,Possible school district contract lost,1,255,255
Eastman Kodak Company (Eastman Business Park),2018-03-20,2017-12-21,2017-12-21,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,8,2,2
Eastman Kodak Company (Eastman Business Park),2017-11-07,2017-08-10,2017-08-10,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,118,32,32
Eastman Kodak Company (Eastman Business Park),2017-08-28,2017-05-31,2017-05-31,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,175,1,1
Eastman Kodak Company (Eastman Business Park),2017-05-16,2017-02-16,2017-02-16,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,228,1,1
Eastman Kodak Company (Kodak Office),2018-02-27,2017-11-30,2017-11-30,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,17,2,2
Eastman Kodak Company (Kodak Office),2018-01-09,2017-10-12,2017-10-12,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,48,4,4
