state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
PA,Benefits Data Trust,benefits data trust,Benefits Data Trust,wikidata,,61,ntee,enterprise,,,,,,203455598,B990,,Q55454222,label,,,automatic,qid:Q55454222,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2024-08-24,273,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,11445137636ff93958844439c683f30f61791495ad7546c4a5cd5082,5fb08e8d1d4911c5ce8e4aea07950bf51b873fa7,2026-07-16,2026-07-19
PA,Bergen Logistics,bergen logistics,Bergen Logistics,filed,,,,,,,,,,,,,,,,,,n:bergen logistics,Luzerne borough,4245568,Luzerne County,42079,41.286856,-75.896836,place,Luzerne,,2024-08-02,100,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,8715ba959c51fbce6a7e558e007a0d2ead222c921585145d04ecd4d2,64277101e66c3f424101e8e9519b6ec6fa79c1c5,2026-07-16,2026-07-19
PA,"Berkley Medical Resources, Inc.",berkley medical resources,"Berkley Medical Resources, Inc.",filed,,,,,,,,,,,,,,,,,,n:berkley medical resources,Fayette City borough,4225456,Fayette County,42051,40.100691,-79.838348,place,Fayette,,2024-11-27,,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,168cfa957dd3b5cd9fbdafac24e770dec1a0b73aa5c3686d09d8d938,82e970ec628373598b227652933d12178d6a301b,2026-07-16,2026-07-19
PA,"Big Lots, Inc.",big lots,Big Lots,wikidata,,45299,sec-sic,enterprise,768835,,exact,5331,Retail-Variety Stores,,,,Q4905973,cik,,,automatic,qid:Q4905973,,,Schuylkill County,42107,40.703682,-76.217788,county,Schuylkill,,2025-01-06,505,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,d1d42fbb097e4a2913f39653cdf83b3e4add22db5e59065daaefcc33,4ac026409f2f29b1e4f10ffea0694f3050d18a38,2026-07-16,2026-07-19
PA,"Block, Inc.",block,"Block, Inc.",wikidata,,,,,1512673,XYZ,exact,7372,Services-Prepackaged Software,,,,Q110778747,cik,,,automatic,qid:Q110778747,,,,,,,,"Bucks, Philadelphia, Montgomery, Delaware, Allegheny, Northampton and Chester",,2024-03-30,22,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,6ee419c1176cd0109e4ba7d9f884cee9c2d8d8c7d39851c7c5989c47,641c131745b523201ec4b4906292da3a74425283,2026-07-16,2026-07-19
PA,Boeing Company,boeing,Boeing,wikidata,,,,,12927,BA,exact,3721,Aircraft,,,,Q66,cik,,,automatic,qid:Q66,Fayette City borough,4225456,Fayette County,42051,40.100691,-79.838348,place,Delaware and Fayette,,2025-01-17,101,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,263f0a75ff2545e61d650aac27654c2f89069c2642a84551af7d4375,e46f7e356ef66cb10f83b453ca0cdffa83aa2a57,2026-07-16,2026-07-19
PA,Bon Appetit Management Company,bon appetit management,Bon Appetit Management Company,filed,,,,,,,,,,,,,,,,,,n:bon appetit management,Northampton borough,4254696,Northampton County,42095,40.688237,-75.487449,place,Northampton,,2023-07-11,194,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,249604e1babce591c97c15dd6b1e091a88b1805d2fc69e89130ff0ab,6508dbd6697a108e50ebb6702cc8e988ae21eab0,2026-07-16,2026-07-19
PA,Bon Appetit Management Company @ Grove City College,bon appetit management company grove city college,Bon Appetit Management Company @ Grove City College,filed,,,,,,,,,,,,,,,,,,n:bon appetit management company grove city college,Mercer borough,4248696,Mercer County,42085,41.22653,-80.236253,place,Mercer,,2023-06-30,185,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,bb5b5fe6882a871065f38f670546e40f93d0a10cd9a01ae8332b486e,7624fee2ff59515600534e862058ec19445f189b,2026-07-16,2026-07-19
PA,"Bonnie Plants, LLC",bonnie plants,"Bonnie Plants, LLC",filed,,,,,,,,,,,,,,,,,,n:bonnie plants,Indiana borough,4236816,Indiana County,42063,40.621954,-79.155283,place,Indiana,,2024-08-01,65,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,c59a8bb69db90d3315f8b53556ed91f21a5fd77dc793831bc5a4b5de,76cba74cd36a3d3b216bdddec216676abfbfa542,2026-07-16,2026-07-19
PA,"Bowery Farming, Inc.",bowery farming,"Bowery Farming, Inc.",filed,,115116,employer,establishment,1655038,,exact,,,,,,,,,,automatic,cik:1655038,Northampton borough,4254696,Northampton County,42095,40.688237,-75.487449,place,Northampton,,2024-11-01,104,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,417443630d07f508a59ae87b01bff9cb061df81e89065d297bf34685,736af5d122740a2217e0907b3cdfc357f9b4e099,2026-07-16,2026-07-19
