state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
UT,HMS Host,hms host,HMSHost,,,,,,,,,,,,Q3786866,label,Autogrill,,automatic,qid:Q3786866,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2012-01-27,,195,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,2c1228cca4439bfa16bac2dc23cdf5aa03c52c3c807cf937759dedef,4ca15e3bdbe0dcdbc34c1c33d2dbc18a01ad56ea,2026-07-16,2026-07-19
UT,Northrop Grumman,northrop grumman,Northrop Grumman Corporation,,334511,sic-crosswalk,1133421,NOC,exact,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",,,,Q329953,cik,,,automatic,qid:Q329953,Lehi city,4944320,Utah County,49049,40.41708,-111.871147,place,Lehi,2012-02-15,,84,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,b29a1c9aae1afb4d7106b4241c923f3b366ff6793955bdbe06519c38,f40ae82aed2e6a1bf7d9916db7b0ebef32e5d15e,2026-07-16,2026-07-19
UT,Hostess navbar-headers,hostess navbar headers,,,,,,,,,,,,,,,,,,n:hostess navbar headers,,,,,,,,Statewide,2012-05-09,,580,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,0762324186d25a4b4eb3dc5fbe4e405450f1d527dfb0544aae5a3080,82d06bc86eeb54a2c64105baf3ee1eaa3c3e429e,2026-07-16,2026-07-19
UT,"Darigold, Inc",darigold,,,,,,,,,,,,,,,,,,n:darigold,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2012-05-24,,86,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,6f00ac0c3cf0c6c99e918ccb2c393d7eec559ba9e5d0c16d220f6930,0d02750b6a9567fdd03749d6405abd563d272d10,2026-07-16,2026-07-19
UT,SnugZ USA âNorthstar Mfg.,snugz usa northstar mfg,,,,,,,,,,,,,,,,,,n:snugz usa northstar mfg,,,Salt Lake County,49035,40.667883,-111.92424,county,Salt Lake City (Relocating to Eagle Mtn. Utah),2012-06-21,,350,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,5240e1f4cb751b2b6903b9a16965bb9c8f55e254f639d76efdc3ea08,8cd54ee6abe75d3c61d3685c5bcfb7494c940d7a,2026-07-16,2026-07-19
UT,Cerro Flow Products,cerro flow products,,,,,,,,,,,,,,,,,,n:cerro flow products,Cedar City city,4911320,Iron County,49021,37.683818,-113.09554,place,Cedar City,2012-06-29,,69,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,335dc457c7f2604864082756f738365a338052c406e90fe6a94152ff,78c939fd126989f309deee6d8d360ee912c388a8,2026-07-16,2026-07-19
UT,URS Corp - EG&G Defense Materials,urs corp eg g defense materials,URS Corporation,,541618,employer,,,,,,,,,Q847232,label,Aecom (United States),,automatic,qid:Q847232,Tooele city,4976680,Tooele County,49045,40.539396,-112.307843,place,Tooele,2012-07-27,,779,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,0c71d5b5c46ccd0faab29f25b0bc8c740f75b9b1f673106f434353c9,ce108fae014106e5da7bb02f0fdb444398465712,2026-07-16,2026-07-19
UT,TD Ameritrade Holding Corp,td ameritrade holding,,,523,sic-crosswalk,1173431,,exact,6211,"Security Brokers, Dealers & Flotation Companies",,,,,,,,automatic,cik:1173431,Draper city,4920120,Salt Lake County,49035,40.49715,-111.864636,place,Draper,2012-09-26,,75,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,739175866646ee5ac0a59d2efcf6d4986a791f6f4bb73bc7dc83bb2f,634b6323c997a57ade92bf6c65d8da29335f3929,2026-07-16,2026-07-19
UT,"Viracon, Inc.",viracon,"Viracon, Inc.",,,,,,,,,,,254900B1UY7SMSR28673,Q117115999,label,,6845,automatic,qid:Q117115999,St. George city,4965330,Washington County,49053,37.077006,-113.576534,place,St. George,2013-02-12,,222,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,23fcf21be949ac2ce158c2c4fd670d6f3ff6ab5f1f6f637cafd7152f,be72cc7854ab0ce3eb60671eb4b0a21e6ac380a9,2026-07-16,2026-07-19
UT,URS (EG&G Defense Materials),urs eg g defense materials,,,,,,,,,,,,,,,,,,n:urs eg g defense materials,Stockton town,4973050,Tooele County,49045,40.444132,-112.37442,place,Stockton,2013-02-25,,71,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,60d63ebf429d1abc4aca396ab3d978eb896a8eb6df82bd32e1fdfce9,cd9515476f2ba7c87d968d28c8fe607743f4b1dc,2026-07-16,2026-07-19
