state,employer_name,normalized_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,wikidata_qid,parent_company,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
AK,CH2M Hill,ch2m hill,,,,,,,,,,,North Slope,2012-12-20,,380,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,ca2f4cc216190d5e538712d9735f13fe4c34037d9c751108a047dc38,9aa5186c8f647ce5bddb5e4739b1dc09246cefcf,2026-07-16,2026-07-19
AK,Doyon Universal Services LLC,doyon universal services,,,,,,,,,,,Anchorage/ North Slope,2013-05-10,2013-08-15,75,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,85983369d41cd9b44b88bcf2845d139c5db2737f441225c3a101c26a,4daaeb5f4bf661ac0c29112b25268f41491f2343,2026-07-16,2026-07-19
AK,ASRC Energy Services,asrc energy services,,,,,,,,,,,Statewide,2015-11-10,2015-11-01,134,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,126a31157f06ed8aa7b152cb0ec2e5846cb48f5b84a59d4e0e0d715f,471cbee3286ef0af266be26b0b1816ab8067e18e,2026-07-16,2026-07-19
AK,Walmart,walmart,,,,104169,WMT,exact,,,,,Juneau,2016-01-15,2016-04-15,168,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,35f743ee595101d52f349fc3c494530b15f222d5edb452c3407ab167,1dbefe1eec4613c50727ebcd66cab5cb7d90cb99,2026-07-16,2026-07-19
AK,Shell,shell,,,,,,,,,,,Anchorage,2016-01-27,2016-03-31,75,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,063c1d543b51c49d61ae4bd50f1d82e72827f94726b20cf0d1822f5d,4e497f6bf05db98870b0344390b23cda1a62c0b9,2026-07-16,2026-07-19
AK,CH2M,ch2m,,,,,,,,,,,North Slope,2016-03-17,2016-03-31,58,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,97648f1393b4a033c23beb26e434af746fc5a1cdb90c31cbc57e85f4,0a9768b975bd89dade47cb8daa748861859429b1,2026-07-16,2026-07-19
AK,Parker Drilling,parker drilling,,,,,,,,,,,Anchorage/ North Slope,2016-03-21,2016-03-01,55,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,92d1d94608c3934d4672f2b45d6b82f1f14215d67fc2a1cf32b1af4b,8e65684ee0aae9f9c8f566e4e835e176e204b5c8,2026-07-16,2026-07-19
AK,First Student,first student,,,,,,,,,,,"Soldotna, Homer & Seward",2017-04-19,2017-06-30,149,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,4053716747fc469be98b76a19282fe523afb9f464db536072c59a97f,c5c5735e15ce2343a2aa2423b09a16196408fa8c,2026-07-16,2026-07-19
AK,Norcon,norcon,,,,,,,,,,,North Slope,2017-05-12,,147,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,54f9898f8f01852520b774928e248e4dc4fe827fb67ac0e4f2afa7e0,321578e4ceac9d7538b74eaf8b414a486d8b376d,2026-07-16,2026-07-19
AK,ASRC Energy Services,asrc energy services,,,,,,,,,,,"Milne, Endicott, and Northstar on the North Slope",2017-11-28,2017-12-18,92,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,d79d6de3e70644be60defb63f5d053908782b77ea5798ba1cac01917,3fdd0b4c83347287b1d6487dbccb5ead03dfe8c5,2026-07-16,2026-07-19
AK,"Kodiak Support Services, JV",kodiak support services jv,,,,,,,,,,,Kodiak,2017-11-30,2017-12-31,125,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,9c505e56b14d78b84325aa7cbd5a705fb892bd54fe31a3d304d6bfbb,40c75914a38ddfa490fd22fed40c0f5164b3e9c3,2026-07-16,2026-07-19
AK,Sears Holdings,sears holdings,,,,1310067,,exact,,,Q966556,,Anchorage,2018-01-04,2018-04-08,67,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,4ab1036cbb9ddba436f662a50c1cbf12d233f64c9a6904afbaa7a20e,38726839d9f7fe308e3ecf7c9bcdc80768600c89,2026-07-16,2026-07-19
