state,location,notices,workers,reason
IL,"300 S RIVERSIDE PLZA SUITE 210 CHICAGO, IL 60606",1,85,no matching place
IL,"3217 RFD Long Grove, IL 60047",1,85,no matching place
IL,"3640 N. Broadway Chicago, IL 60654",1,85,no matching place
IL,"439 N MILWAUKEE AV VERNON HILLS, IL 60061",1,85,no matching place
IL,"444 MERCHANDISE MART PLAZA CHICAGO, IL 60654",1,85,no matching place
IL,"510 RIVER OAKS WEST CALUMET CITY, IL 60409",1,85,no matching place
IL,"807 W Fulton Market chicago, IL 60607",1,85,no matching place
IL,"900 W. Bliss Street 1111 N. Cherry Ave. Chicago, IL 60642",1,85,no matching place
IL,"MILAN OPERATIONS 7300 50TH STREET MILAN, IL 61264",1,85,no matching place
IL,"O'Hare International Airport Chicago, IL 60606",1,85,no matching place
IL,"UNION PLANTERS BANK 7650 MAGNA DRIVE BELLEVILLE, IL 62223",1,85,no matching place
MD,"1800 Rockville Pike Rockville, MD 20852",1,85,no matching place
MO,CottlevilleGarden CityLawsonLexingtonOzarkPeculiarRollaSpringfieldWaverlyWentzville,1,85,no matching place
NC,150 DuBose Home Ln McLean Hall Chapel Hill NC 27517,1,85,no matching place
NC,5281 Southern Station RR Station Linwood NC 27299,1,85,no matching place
OH,Hts.,1,85,no matching place
VA,"Alexandria, Ashburn, Burke, Fair Oaks, Falls Church, Haymarket, Manassas, McLean, Reston VA",1,85,9 distinct places named
WA,Marysville and Newport,1,85,2 distinct places named
CO,Remote Workforce,1,84,no matching place
FL,DANIA,4,84,no matching place
GA,Flowery Branc,2,84,no matching place
IL,"1225 Bowes Road 501 W. Apple Street Elgin, IL 60123-6224",1,84,no matching place
IL,"13795 WEST POLO TRAIL DRIVE LAKE FOREST, IL 60045",1,84,no matching place
IL,"320 Locust Prophetstown, IL 61277",1,84,no matching place
IL,"John Hancock Center 875 Michigan Ave. Chicago, IL 60611",1,84,no matching place
MN,Bloominton Minneapolis,1,84,no matching place
NC,2701 SIMPSON ST Monroe NC 28112- 4120,1,84,no matching place
NC,798 Highway 117 South Burgaw NC 28425,1,84,no matching place
NJ,Boca Raton,1,84,no matching place
VA,McFall VA,1,84,no matching place
WA,Seattle & Bellevue,1,84,2 distinct places named
CA,Tahoe City,1,83,no matching place
CO,Rural Consortium / Western,1,83,no matching place
IL,"#1 CHEDDAR LANE FALLEY CITY, IL 62340",1,83,no matching place
IL,"1120 North 4th Petersburg, IL 62675",1,83,no matching place
IL,"222 South Riverside Plaza Chicago, IL 60606",1,83,no matching place
IL,"600 West Fulton Street, 4th Floor Chicago, IL 60661",1,83,no matching place
IL,"9501 Winona Schiller Park, IL 60176",1,83,no matching place
IL,"P O BOX 1 SPARTA, IL 62286",1,83,no matching place
IL,"ROUTE 15 FAIRFIELD INDUSTRIAL PARK WEST FAIRFIELD, IL 62837",1,83,no matching place
IL,"RT 53 & HOFF ROAD JOLIET, IL 60434",1,83,no matching place
IL,"Route 1 Box 267 Cave-in-Rock, IL 62919",1,83,no matching place
LA,"1209 Distributors Row Harahan, LA 70123",1,83,no matching place
LA,"139 Joe Brown Lockport, LA 70374",1,83,no matching place
LA,"3450 U.S. Highway 190 Mandeville, LA 70471",1,83,no matching place
LA,"6645 Hwy 15 Farmerville, LA",1,83,no matching place
MD,"10000 Franklin Square Drive Suite 300 Nottingham, MD 21236",1,83,no matching place
NJ,Yardley,1,83,no matching place
NY,Purchase,1,83,no matching place
VA,Rcihmond VA,1,83,no matching place
WA,"Vancouver, Tacoma, Poulsbo",1,83,3 distinct places named
AZ,Changler,1,82,no matching place
FL,32544,1,82,no place name in the string
FL,33431,2,82,no place name in the string
IL,"110 East Pearson Chicago, IL 60611",1,82,no matching place
IL,"15989 US-6 East Geneseo, IL 61254",1,82,no matching place
IL,"1701 W. Bradley Champaign, IL 61821",2,82,no matching place
IL,"2681 Route 394 Crete, IL 60417",1,82,no matching place
IL,"3 Oakbrook Center Oakbrook, IL 60523",1,82,no matching place
IL,"8822 West 47th Street P.O. Box 149 Brookfield, IL 60513-2516",1,82,no matching place
IL,"Industrial Cylinder Division 800 N York Road Bensenville, IL 60106",1,82,no matching place
IL,"Rock Island Arsenal Bldg. 210 Rock Island, IL 61299",1,82,no matching place
MA,"Somerville, MA, Boston",1,82,2 distinct places named
MD,"20 Firstfield Road Gaithersburg, Maryland 20878",1,82,2 distinct places named
MD,"4700 Silver Hill Road, Rm 3517 Suitland, MD 20746",1,82,no matching place
MD,"835 Solomons Island Road North Prince Frederick, MD 20678",1,82,no matching place
NC,725 Reese Drive SW Conover,1,82,no matching place
NE,Oskosh,2,82,no matching place
NJ,LANDISVILLE,1,82,no matching place
OR,EUGENE AND BEAVERTON,1,82,no matching place
SC,"Columbia,Greenville, NorthCharleston",1,82,2 distinct places named
TX,Flint,1,82,no matching place
VA,Hoffman Estates IL,1,82,no matching place
VA,N. Fairfax VA,1,82,no matching place
WA,Toutle,2,82,no matching place
AZ,Dallas,1,81,no matching place
ID,Buhl Buhl Buhl Wendell,1,81,no matching place
IL,"3051 Hollis Dr Ste 150 # 200 Springfield, IL 62704-7452",1,81,no matching place
IL,"3465 COURT STREET PEKIN, IL 61554",1,81,no matching place
IL,"3800 S Halsted St 08 Chicago, IL 60609-1611",1,81,no matching place
IL,"4 OAKBROOK CENTER OAKBROOK, IL 60523",1,81,no matching place
IL,"4343 N RAVENSWOOD CHICAGO, IL 60602",1,81,no matching place
IL,"6525 North Illinois Fairview Heights, IL 62208",1,81,no matching place
IL,"7201 SOUTH LEAMINGTON BEDFORD PARK, IL 60638",1,81,no matching place
IL,"750 N. Orleans St., 2nd Floor Chicago, IL 60654",1,81,no matching place
IL,"ROUTE 37 SOUTH SALEM, IL 62881",1,81,no matching place
NC,420 N. Center St 3560 Dallas Parkway Frisco TX 75034 Hickory NC 28601,1,81,no matching place
NJ,Rockville Centre,1,81,no matching place
NY,Waterloo/Penn Yan/Seneca Falls,1,81,3 distinct places named
OH,D Mason,1,81,no matching place
PA,Various Counties within the Commonwealth,1,81,no matching place
RI,"Dallas, Texas",1,81,no matching place
AL,Tuskegee Institute,1,80,no matching place
AZ,Phoneix,2,80,no matching place
CA,West Hill,1,80,no matching place
CO,RC: Broomfield,1,80,no matching place
GA,Alpharette,1,80,no matching place
GA,Lawrencville,1,80,no matching place
ID,CDA,1,80,no matching place
IL,"10 Clinton Plaza Clinton, IL 61727",1,80,no matching place
IL,"100 E Broadway Monmouth, IL 61462",1,80,no matching place
IL,"100 LAKEHURST CENTER WAUKEGAN, IL 60085",1,80,no matching place
IL,"1175 E Main Street University Mall Carbondale, IL 62901",1,80,no matching place
IL,"1801 W. Jefferson Joliet, IL 60432",1,80,no matching place
IL,"2300 E Devon DesPlaines, IL 60018",1,80,no matching place
IL,"901 West Oakton Des Plaines, IL 60018-1843",1,80,no matching place
IL,"N MAIN STREET LADD, IL 61329",1,80,no matching place
IL,"P O BOX 1246 CENTRALIA, IL 62801",1,80,no matching place
IL,"RR 29 Caterpillar Mossville Engine Center Mossville, IL 61552",1,80,no matching place
IL,"RT. 1 GILLESPIE, IL 62033",1,80,no matching place
IL,"WEST SPRING STREET GRAYVILLE, IL 62844",1,80,no matching place
IN,Indianapolis S. East Street,1,80,no matching place
LA,"1300 Highway 165 Monroe, LA 71202",1,80,no matching place
LA,"2546 Highway 662 S. Morgan City, LA 70380",1,80,no matching place
LA,"6009 Financial Plaza Shreveport, LA 71073",1,80,no matching place
LA,"718 St. Peter Street New Orleans, LA 70116",1,80,no matching place
LA,"975 Cobb Place Blvd. Ste. 218 Kennesaw, GA. 30144",1,80,no matching place
MA,"Acton, Gardner, Athol, Leominster, Worcester",1,80,3 distinct places named
NJ,Hamilton Twp,1,80,no matching place
NJ,Monroe Twp,1,80,no matching place
NJ,NO. ARLINGTON,1,80,no matching place
OH,Glenwillow/Solon/Cuyahoga,1,80,2 distinct places named
OH,Langsville,1,80,no matching place
OR,Bend/Prineville/Redmond,1,80,3 distinct places named
TN,Davidson and Knox County,1,80,no matching place
VA,Annadale VA,1,80,no matching place
VA,Dulles International Airport VA,1,80,no matching place
VA,Manasas VA,1,80,no matching place
WA,Randle,1,80,no matching place
CA,ALVISO,1,79,no matching place
CA,Pleasant Hills,1,79,no matching place
CO,Remote locations in CO,1,79,no matching place
IL,"1 Tower Lane, Suite 400 Hyatt/RSS Oakbrook Terrace, IL 60181",1,79,no matching place
IL,"1304 W. Bradley Champaign, IL 61821-2035",1,79,no matching place
IL,"1608 E. Empire Bloomington, IL 61701",1,79,no matching place
IL,"222 East 9th Street 150 W. Jefferson St.., Joliet, 60432 Lockport, IL 60441",1,79,2 distinct places named
IL,"230 West Monroe Chicago, IL 60606",1,79,no matching place
IL,"2504 WASHINGTON STREET # 203 WAUKEGAN, IL 60085",1,79,no matching place
IL,"27373 W IL Route 176 Wauconda, IL 60084-1628",1,79,no matching place
IL,"401 Terrace Dr. Mundelein, IL 60060",1,79,no matching place
IL,"4100 DENLEY ROAD 175TH TRISTATE TOLWAY, S HOLLAND SCHILLER PARK, IL 60176",1,79,no matching place
IL,"SOUTHEAST CASE MANAGEMENT UNIT 8704 S CONSTANCE CHICAGO, IL 60602",1,79,no matching place
MD,"BWI Airport 7050 Friendship Road Baltimore, MD 21240",2,79,no matching place
NC,3320 Silas Creek Pkwy # 300 Winston Salem NC 27103,1,79,no matching place
NC,Camp Lejeune,1,79,no matching place
WA,Nineteen locations across Washington State,1,79,no matching place
CA,"1875 Newport Blvd., A219 Costa Mesa CA 92627",1,78,no matching place
CA,LAKEVIEW TERRACE,2,78,no matching place
CA,Santa Rose,1,78,no matching place
CO,Tri-County,1,78,no matching place
CT,"Shelton, Danbury, Wethersfield",3,78,3 distinct places named
GA,"1000 Jefferson St, Suite 2C, Lynchburg, Virginia",1,78,no matching place
IL,"12 Gateway Commerce Center Dr E Edwardsville, IL 62025-2808",1,78,no matching place
IL,"1275 Hamilton University Park, IL 60484",1,78,no matching place
IL,"2001 West Wabash Springfield, IL 62704",1,78,no matching place
IL,"2100 Portland Road P.O. Box 165 Joppa, IL 62953",1,78,no matching place
IL,"3 State Farm Plaza Bloomington, IL 61791",1,78,no matching place
IL,"76 E Monroe Chicago, IL 60603",1,78,no matching place
IL,"Belvidere School District #100 9393 Beloit Road Belvidere, IL 61008",1,78,no matching place
IL,"Charlestowne Centre 3700 E. Main St. St. Charles, IL 60174",1,78,no matching place
IL,"RETAIL DIVISION 5600 NORTH RIVER ROAD ROSEMONT, IL 60018",1,78,no matching place
IL,"ROUTE 1 SESSER, IL 62884",1,78,no matching place
IL,"U S Rte 45 N Harrisburg, IL 62946",1,78,no matching place
IL,"US RT 45 NORTH HARRISBURG, IL 62946",1,78,no matching place
MD,"825 Dulaney Valley Road Towson, Maryland 21204",1,78,2 distinct places named
MI,Shelbyville,1,78,no matching place
MT,"Dawson, Fallon, Prairie and Wibaux",1,78,2 distinct places named
NC,4121 Main At North Hills #105 Raleigh NC 27609,1,78,no matching place
NJ,"Bellevue, WA (Statewide in NJ)",1,78,no matching place
VA,Richmond & Sandston VA,1,78,2 distinct places named
CA,BANTA,5,77,no matching place
CA,Cucamonga,1,77,no matching place
CA,Rancho Santa,1,77,no matching place
FL,32324,1,77,no place name in the string
IL,"One Hauk Road Hampshire, IL 60140",1,77,no matching place
LA,"1249 Evangeline Thruway Broussard, LA 70518",1,77,no matching place
MD,"10745 DeMarr Road, White Plains, MD 20695",1,77,no matching place
NC,2927 Blackjack Street Fort Bragg NC 28310,1,77,no matching place
NC,3600 Oxford Loop Oxford,1,77,no matching place
NJ,"Princeton, Ledgewood, Middletown Township",1,77,2 distinct places named
CO,San Diego (remote CO Workers),1,76,no matching place
CT,"400 Captain Neville Drive, in the city of Waterbury, Connecticut 06705",1,76,no matching place
CT,San Diego,1,76,no matching place
FL,33172,1,76,no place name in the string
GA,"9540 Towne Centre Dr, Suite 100, San Diego, California",1,76,no matching place
IL,"1 W Washington Chicago, IL 60602",2,76,no matching place
IL,"145 River Oaks Center Calumet City, IL 60409",1,76,no matching place
IL,"2 Westbrook Corporate Ctr Ste 200 Westchester, IL 60154-5718",1,76,no matching place
LA,"(Full Service Systems Corp.) – , Horseshoe Bossier City",1,76,no matching place
LA,"222 Pearl Street New Albany, IN 47150",1,76,no matching place
LA,Green Canyon 65 (Bullwinkle) Platform Offshore Louisiana,1,76,no matching place
LA,Horseshoe Bossier City,1,76,no matching place
MD,"7020 Dorsey Road Suite C Hanover, MD 21076",1,76,no matching place
NC,1748 N US Highway 220 Ellerbe NC 28338,1,76,no matching place
NC,Winston -,1,76,no matching place
NV,"LV, NLV, He, Sp, El, Cl, Wa, El",1,76,no matching place
OR,"San Diego, CA",1,76,no matching place
CA,Century City,1,75,no matching place
CT,322 WestFarms Mall space F226 Farmington Ct06032,1,75,no matching place
IL,"10 OLD ORCHARD SHOPPING CENTER SKOKIE, IL 60076",1,75,no matching place
IL,"10601 W. Seymore Franklin Park, IL 60123",1,75,no matching place
IL,"1805 River Way Drive Pekin, IL 61554",1,75,no matching place
IL,"185 North Kennedy Dr Bradely, IL 60915",1,75,no matching place
IL,"29745 ALLIANT RT 53 S ARSENAL WILMINGTON, IL 60481",1,75,no matching place
IL,"400 Golf Mill Center Niles, IL 60714",1,75,no matching place
IL,"5 Woodfield Mall Space D313 Schaumburg, IL 60173",1,75,no matching place
IL,"5595 James S. McDonnell Blvd. St. Louis, MO 63134",1,75,no matching place
IL,"712 W. Winthrop Addison, IL 60101",1,75,no matching place
IL,"7800 14TH STREET WEST ROCK ISLAND, IL 61201",1,75,no matching place
IL,"ROUTE 30 ROCK FALLS, IL 61071",1,75,no matching place
IL,"Rural Route 3, Box 25 Roodhouse, IL 62082",1,75,no matching place
IN,"Muncie, Bloomington, Chandler and Indianapolis",1,75,4 distinct places named
IN,Nationwide,1,75,no matching place
LA,DS-18 Drilling Rig,1,75,no matching place
MD,"10904 Boulevard Circle Owings Mills, MD 21117",1,75,no matching place
MD,"725 Pittman Road Curtis Bay, MD 21226",1,75,no matching place
MD,"7442 Shipley Avenue, Harmans MD",1,75,no matching place
MI,New Boston,1,75,no matching place
MI,"New Boston, Michigan",1,75,no matching place
MN,Bloomingto,1,75,no matching place
NC,4325 Glenwood Avenue #2089 Raleigh NC 27612,1,75,no matching place
NC,6809-F Phillips Place Court Charlotte NC 28210,1,75,no matching place
NJ,Bayville,1,75,no matching place
WA,Everett and Renton,1,75,2 distinct places named
WA,North Creek & Fairview,1,75,no matching place
WI,"Green Bay, Manitowoc, Oconto, Shawano",1,75,4 distinct places named
WI,"Menomonie, Neenah, Rice Lake, Pulaski, Brodhead, Lake Geneva, Appleton, Marinette, Forest Junction, Menasha, Chippewa Falls, Mosinee, Kewaunee, Onalaska, Lake Mills, Rice Lake, Lannon, Beaver Dam, Eden, Fond du Lac, Waupaca, Wisconsin Rapids, Markesan, Janesville, Fennimore, Fort Atkinson, Portage, Marquette, Plover, Reeseville, Amery, Kenosha, East Troy, Sullivan, Beloit, Oak Creek, Spencer",1,75,36 distinct places named
FL,CLEAR WATER BEACH,1,74,no matching place
IL,"10 S RIVERSIDE PLAZA CHICAGO, IL 60606",1,74,no matching place
IL,"13571 IL Highway 133 Paris, IL 61944",1,74,no matching place
IL,"225 S KRESS RD PO BOX 308 WEST CHICAGO, IL 60186-0208",1,74,no matching place
IL,"225 S Kress West Chicago, IL 60185-0208",1,74,no matching place
IL,"2425 Brookside Waukegan, IL 60085",1,74,no matching place
IL,"6 Wolfer Industrial Park Spring Valley, IL 61362",1,74,no matching place
LA,"3679 Bowen Road Howell, MI 48855",1,74,no matching place
MA,"Sturbridge, Webster & Worcester",1,74,2 distinct places named
MD,"11333 McCormick Road Hunt Valley, MD 21031",1,74,no matching place
MD,"1695 Annapolis Mall Annapolis, MD 21401",1,74,no matching place
MD,"45 St. Patrick’s Drive Waldorf, MD 20603",1,74,no matching place
MI,"Bingham Farms, Bloomfield Hills, and Northville, Counties: Oakland and Wayne, Number Affected: 74",1,74,3 distinct places named
NC,1921 Boone Trail Rd Sanford,1,74,no matching place
NC,5465 NC-73 Mount Gilead,1,74,no matching place
OH,Unknown City/Unknown Counties,2,74,no matching place
UT,Cottonwoods Heights,1,74,no matching place
VA,Milford VA,1,74,no matching place
VT,Westerville,1,74,no matching place
CA,Capistrano Beach,1,73,no matching place
CA,March Air Reserve Base,1,73,no matching place
GA,Macon Drive,1,73,no matching place
IL,"1025 E THOMPSON AVENUE 405 W ORANGE STREET HOOPESTON, IL 60942",1,73,no matching place
IL,"10255 West Higgins Road 5th Floor Rosemont, IL 60018-5612",1,73,no matching place
IL,"1175 E. 90th St. Davenport, IA 52807",1,73,no matching place
IL,"15260 N. State Route 78 Havana, IL 62644",1,73,no matching place
IL,"6500 Route 53 Woodridge, IL 60517",1,73,no matching place
IL,"66 Church Street Lake Zurich School District Lake Zurich, IL 60047",1,73,no matching place
IL,"SIX PARKWAY NORTH DEERFIELD, IL 60015",1,73,no matching place
LA,"26755 US 371 Sarepta, LA 71071",1,73,no matching place
MA,"East Freetown, Southeast",1,73,no matching place
MD,"12620 Crain Highway Newburg, MD 20664",1,73,no matching place
MD,"235 Schilling Circle Suite 108 Hunt Valley, MD 21031",1,73,no matching place
MD,"4801 Marlboro Pike Capitol Heights, MD 20743",1,73,no matching place
MD,"701 Russell Avenue, Lakeforest Blvd. Gaithersburg, MD 20877",1,73,no matching place
NC,114 Meadow Hill Mooresville NC 28117,1,73,no matching place
NC,"1515 4th Street, SW Conover NC 28613",1,73,no matching place
NC,6903 Phillips Place Ct Charlotte NC 28210,1,73,no matching place
SC,Hilton Head,3,73,no matching place
VA,Rosslyn VA,1,73,no matching place
WA,Renton and Mukilteo,1,73,2 distinct places named
CA,American,1,72,no matching place
FL,33308,1,72,no place name in the string
IL,"1919 E. Fairchild Danville, IL 61832-3514",1,72,no matching place
IL,"2700 S RANEY EFFINGHAM, IL 62401",1,72,no matching place
IL,"2901 East Lincolnway Sterling, IL 61081",1,72,no matching place
IL,"8600 N INDUSTRIAL ROAD 8512 N ALLEN & 2400 W ALTORFER PEORIA, IL 61615",1,72,no matching place
IL,"AND DEALER SERVICES UNIT 3000 LAKESIDE DRIVE BANNOCKBURN, IL 60015",1,72,no matching place
IL,"Delta Air Lines - O'Hare Terminal 3 P.O. Box 66138 Chicago, IL 60666",1,72,no matching place
IL,"INTEGRATED HYDRAULICS DIVISION LINCOLNSHIRE, IL 60069",1,72,no matching place
IL,"P.O. Box 298 Karnak, IL 62956",1,72,no matching place
IL,"Rox River 2, Airport Rd. Elgin, IL 60123",1,72,no matching place
LA,"10000 Perkins Rowe Baton Rouge, LA 70810",1,72,no matching place
MD,"8321 Leishear Road Laurel, Maryland 20723",1,72,2 distinct places named
NC,1660 US 311 Hwy. North Walnut Cove,1,72,no matching place
NC,"2009 Keisler Road, SE Conover NC 28613",1,72,no matching place
NC,29 30th St. NW Hickory NC 28602,1,72,no matching place
NC,Pines and,1,72,no matching place
NY,Getzville,1,72,no matching place
UT,Kearns,1,72,no matching place
VA,Fairfaix VA,2,72,no matching place
VA,Newport News & Portsmouth VA,2,72,2 distinct places named
CA,Gremont,1,71,no matching place
IL,"2418 Gardner Expressway Quincy, IL 62305",1,71,no matching place
IL,"70 Cherry Tree Shop Ctr Washington, IL 61571",1,71,no matching place
IL,"900 WEST ST JOHNS OLNEY, IL 62450",1,71,no matching place
IL,"P O BOX 220 891 BOB KING DRIVE ARCOLA, IL 61910",1,71,no matching place
KS,Cleveland,1,71,no matching place
KY,McCraken,2,71,no matching place
MD,"1110 Old Elkridge Landing Rd Linthicum Heights, MD 21090",1,71,no matching place
OH,Fredricktown,1,71,no matching place
RI,Multiple Locations,1,71,no matching place
SC,CYoonrskumer Products G,1,71,no matching place
CA,Jolon,1,70,no matching place
CA,TOLLHOUSE,1,70,no matching place
FL,32218,1,70,no place name in the string
FL,33319,1,70,no place name in the string
FL,33404,1,70,no place name in the string
FL,33782,6,70,no place name in the string
GA,"All remote workers - no physical site, N/A, Georgia",1,70,no matching place
GA,Ft Gordon Ga,1,70,no matching place
GA,Smryna,1,70,no matching place
IL,"10 S. Dearborn, Plaza Level Chicago, IL 60603",1,70,no matching place
IL,"1020 BAHLS DANVILLE, IL 61832",1,70,no matching place
IL,"1800 West Oak Herrin, IL 62948",1,70,no matching place
IL,"2901 St. Clair Avenue East St. Louis, IL 62205",1,70,no matching place
IL,"325 South Route 31 Montgomery, IL 60538",1,70,no matching place
IL,"431 E SOUTH STREET AND 800 WEST MAIN STREET PLANO, IL 60545",1,70,no matching place
IL,"6155 South Harlem Chicago, IL 60638",1,70,no matching place
IL,"8300 WEST ROUTE 24 MAPLETON, IL 61547",1,70,no matching place
IL,"RANDHURST SHOPPING CENTER MOUNT PROSPECT, IL 60056",1,70,no matching place
IL,"TRICO ROAD RR 1 CAMPBELL HILL, IL 62916",1,70,no matching place
IN,"Lafayette, Avon, Terre Haute, Evansville, and Vincennes",1,70,5 distinct places named
LA,"4200 HWY 190 West DeRidder, LA 70634",1,70,no matching place
MA,"Northampton, Pittsfield & West Springfield, MA, Western",1,70,3 distinct places named
MD,"4805 Philadelphia Road Belcamp, MD 21014",1,70,no matching place
MD,"5001 Washington Blvd. Halethorpe, MD 21227",1,70,no matching place
MD,"Medstar Harbor 3001 S. Hanover St. Baltimore, MD 21225",1,70,no matching place
ME,Presques Isle,1,70,no matching place
MN,Boston,1,70,no matching place
NC,201 S Estes Dr # 300 Chapel Hill NC 27514,1,70,no matching place
NC,2581 NC Highway 90 E Taylorsville NC 28681,1,70,no matching place
NJ,BIRMINGHAM,1,70,no matching place
NJ,PORT NEWARK,1,70,no matching place
NY,"Hastings on Hudson, Plattekill",1,70,2 distinct places named
OH,Worthington/Columbus,1,70,2 distinct places named
VA,Raphine VA,1,70,no matching place
WI,Shullsberg,3,70,no matching place
CT,12/08/2025,1,69,no matching place
GA,Faytteville,1,69,no matching place
IL,"778 N. Illinois Rd. 59 Aurora, IL 60504",1,69,no matching place
IL,"Global Markets Customer Care Center 800 Jorie Boulevard Oak Brook, IL 60523",1,69,no matching place
IL,"MIDWAY BUSINESS SERVICES CENTER 5561 SOUTH ARCHER AVENUE CHICAGO, IL 60015",1,69,no matching place
IL,"multiple locations Multiple, IL 99999",1,69,no matching place
IN,"Highland, Merrillville, Michigan City, Portage, Valparaiso, Elkhart, Goshen, Mishawaka, South Bend, Warsaw, Angola, Fort Wayne, Kokomo, Lafayette, Greenwood, Noblesville, Plainfield, Muncie, Richmond, Terre Haute, Jasper, Vincennes, Marion",1,69,23 distinct places named
MA,Middleboro,1,69,no matching place
MD,"Coppin State University 2500 W. North Avenue Baltimore, MD 21216",1,69,no matching place
NC,1000 Innovation Ave 1200 Innovation Ave Morrisville NC 27560,1,69,no matching place
TN,"DeSoto County, Mississippi County",1,69,no matching place
AZ,Minneapolis,1,68,no matching place
CA,SEQUOIA NATIONAL PAR,2,68,no matching place
ID,Post Falls Bonners Ferry,1,68,no matching place
IL,"3306 S 6th Street Rd Springfield, IL 62703-4735",1,68,no matching place
IL,"500 W. Monroe, 33rd Floor Chicago, IL 60661",1,68,no matching place
IL,"Global Markets Customer Care Center 225 West Randolph Street Chicago, IL 60606",1,68,no matching place
IL,"PROVISIONING & MAINTENANCE 1000 COMMERCE DRIVE OAK BROOK, IL 60521",1,68,no matching place
MD,"118 Shawan Road, Hunt Valley, MD",1,68,no matching place
MD,"12741 Ocean Gateway #920 Ocean City, MD 21842",1,68,no matching place
MD,"130 Shawan Road Hunt Valley, MD 21031",1,68,no matching place
NC,8901 US-220 Stoneville,1,68,no matching place
NY,Ashville,1,68,no matching place
NY,Ronkonkoma/Carle Place,1,68,2 distinct places named
NY,Yonkers/West Nyack,1,68,2 distinct places named
VA,"Arlington, Fairfax, Newport News, Richmond VA",1,68,4 distinct places named
CA,18231 W. McDurmott #100 Irvine CA 92614,1,67,no matching place
DE,Baltimore,1,67,no matching place
FL,33702,1,67,no place name in the string
GA,Irving,1,67,no matching place
IL,"#13 FOUNTAIN PLACE MT VERNON, IL 62864",1,67,no matching place
IL,"1 N. State Street, 15th Floor Chicago, IL 60602",1,67,no matching place
IL,"12350 Avenue O Chicago, IL 60633",1,67,no matching place
IL,"1351 WINDSOR ROAD PO BOX 2906 ROCKFORD, IL 61132-2906",1,67,no matching place
IL,"8570 St. Luke Drive Beardstown, IL 62618",1,67,no matching place
IL,"One Pampered Chef Lane Addison, IL 60101-5630",1,67,no matching place
IL,"PO BOX 1489 CHAMPAIGN, IL 61824-1489",1,67,no matching place
IL,"Shay No. 1 mine 14399 Brushy Mound Road Carlinville, IL 62626",1,67,no matching place
IL,"VILLAGE OF ELWOOD ELWOOD, IL 60421",1,67,no matching place
NC,100 Campus Dr. Florham Park NJ,1,67,no matching place
NC,953 Old US Hwy 70 Black Mountain NC 28711,1,67,no matching place
NJ,Ramey,1,67,no matching place
OH,Columbus ODJFS Bureau of WIA-Rapid,1,67,no matching place
TX,Danciger,1,67,no matching place
CO,Remote Employees,2,66,no matching place
GA,Nahutta,1,66,no matching place
IL,"1001 North Highway Drive Fenton, MO 63026-1907",1,66,no matching place
IL,"1620 W Chase Chicago, IL 60626",1,66,no matching place
IL,"224 S Michigan Avenue 15th Floor Chicago, IL 60604",1,66,no matching place
IL,"5050 North Broadway Chicago, IL 60640",1,66,no matching place
IL,"600 W. Chicago Ave. #620 Chicago, IL 60610",1,66,no matching place
IL,"9 Gateway Commerce Center Dr E Edwardsville, IL 62025-2810",1,66,no matching place
IL,"95 WEST ALGONQUIN ARLINGTON HEIGHTS, IL 60005",1,66,no matching place
IL,"Chicago Midway International Airport 5700 S. Cicero Ave. Chicago, IL 60638",1,66,no matching place
IL,"Two Nutrition Plaza Carbondale, IL 62901",1,66,no matching place
IN,"Boonville, Evansville",1,66,2 distinct places named
LA,"355 Hwy 3142 Hahnville, LA 70057",1,66,no matching place
MD,"134 Shawan Road Hunt Valley, MD 21030",1,66,no matching place
MD,"940 Ridgebrook Road Sparks, MD 21152",1,66,no matching place
MI,"Detroit, Michigan and Highland Park, Michigan",1,66,2 distinct places named
MN,Manhattan,1,66,no matching place
NC,The Raleigh Durham Airport Terminal 1 Morrisville,1,66,no matching place
NJ,DELAIR,1,66,no matching place
NY,Bronx/Brooklyn/NY/Astoria/Elmhurst/Flushing,1,66,no matching place
TX,Donie,2,66,no matching place
VA,Fort Belvoir (Fairfax County) VA,1,66,2 distinct places named
WI,"Franklin, Sturtevant, Milwaukee",1,66,2 distinct places named
GA,"1855 W State Rd 434, Longwood, Florida",1,65,no matching place
IL,"129 N. Antle Petersburg, IL 62675",1,65,no matching place
IL,"140 COUNTRYSIDE PLAZA COUNTRYSIDE, IL 60525",1,65,no matching place
IL,"15191 IL Highway 40 Sheffield, IL 61361",1,65,no matching place
IL,"2 Plaza Park Forest, IL 60466",1,65,no matching place
IL,"216 MENOMINEE EAST DUBUQUE, IL 61025",1,65,no matching place
IL,"264 Southtowne Shopping Center DuQuoin, IL 62832",1,65,no matching place
IL,"2719 S. State Street Locktport, IL 60441",1,65,no matching place
IL,"3 Westbrook Ctr Ste 200 Westchester, IL 60154",1,65,no matching place
IL,"35 BAKER ROAD RONDOUT, IL 60044",1,65,no matching place
IL,"402 Mill Street, Utica 61373 La Salle Co. 1446 W Devils Backbone Rd Oregon, IL 61061",1,65,no matching place
IL,"411 W. Calhoun Macomb, IL 61455",1,65,no matching place
IL,"5300 St. Charles Road Berkeley, IL 60163-1344",1,65,no matching place
IL,"6045 S. Nottingham Chicago, IL 60638",1,65,no matching place
IL,"756 N Main Decatur, IL 62521",1,65,no matching place
IL,"816 State Street Eldordao, IL 62930-1220",1,65,no matching place
