state,location,notices,workers,reason
OH,"Steubenville, Mingo Junction, Yorkville (Jefferson)",1,831,3 distinct places named
AZ,9 - Yuma County Workforce Investment Board,6,830,no matching place
IL,"3142 Chrysler Drive P. O. Box 510 Belvidere, IL 61008",5,830,no matching place
TN,"Davidson, Sevier, and Williamson County",1,830,no matching place
WI,"Green Bay, Brussels, Suring",1,829,2 distinct places named
FL,33069,2,824,no place name in the string
IL,"Chicago O'Hare Airport P.O. Box 66297 Chicago, IL 60666",1,821,no matching place
OH,Massillion,2,814,no matching place
NJ,Monroe Township,3,812,no matching place
IL,"Additional locations 7225 Santa Fe Dr Hodgkins, IL 60525",1,807,no matching place
IL,"1241 N SEDGWICK CHICAGO, IL 60610",2,804,no matching place
IL,"PO BOX 516 ST. LOUIS, MO 63166-0516",2,803,no matching place
OH,Cleveland & Ashtabula (Cuyahoga & Ashtabula),1,803,2 distinct places named
OH,Sandusky/ErieMason/Warren,1,802,2 distinct places named
NJ,NEWARK/JERSEY CITY,1,800,2 distinct places named
IL,"5757 South Cicero Chicago, IL 60638",2,796,no matching place
IL,"6821 E. County Rd., 1100N Mattoon, IL 61938",1,796,no matching place
CO,Jeffco (Tri-County),2,792,no matching place
TN,Davidson and Shelby County,3,787,no matching place
IL,"5466 State Rt. 154 Pinckneyville, IL 62274",1,780,no matching place
IL,"multiple Cook County locations Cook County, IL 60005",1,778,no matching place
IL,"1300 Waukegan Road Monte Briner Bldg. Waukegan, IL 60085-6728",1,776,no matching place
CA,ORO GRANDE,10,775,no matching place
GA,St. Mountain,10,775,no matching place
FL,Center,2,770,no matching place
CA,PONOMA,14,769,no matching place
IL,"ALLSTEEL DRIVE AURORA, IL 60507-0871",3,764,no matching place
IL,"# 5 CUT STREET ALTON, IL 62002-9011",3,759,no matching place
ND,Nationwide - Remote,2,754,no matching place
NJ,Buffalo,3,753,no matching place
LA,"441 Apollo Beach Blvd Apollo beach, FL 33572",1,751,no matching place
CT,"Hartford, Bridgeport, Farmington, Enfield, East Windsor, Cos Cob, North Haven, New Haven, South Windsor, Southington, Stamford, Wethersfield, Woodbridge",1,747,7 distinct places named
OR,"Bellingham, WA",2,747,no matching place
IL,"P. O. Box 1248 Effingham, IL 62401-1248",1,742,no matching place
TX,Cypress,12,741,no matching place
AZ,Las Vegas,4,734,no matching place
IL,"1 VERNWOOD DR PO BOX 1628 MOUNT VERNON, IL 62864",2,732,no matching place
MI,"Warren, Michigan; Novi, Michigan; Grand Rapids, Michigan; Burton, Michigan; Shelby Township, Michigan; Lansing, Michigan; and Alpine, Michigan",1,721,6 distinct places named
MA,"Cambridge, MA, Boston",5,719,2 distinct places named
MD,"6811 Kenilworth Avenue Riverdale, MD 20737",4,718,no matching place
FL,KENNEDY SPACE CENTER,2,713,no matching place
IL,"111 West Buchanan Carthage, IL 62321",3,710,no matching place
IL,"Multiple Lake County sites Lake County, IL 60004",1,704,no matching place
CT,"West Hartford, Southington, Orange, Newington, Wilton, New London, North Haven, Enfield, Shelton, Danbury",1,702,6 distinct places named
NC,324 W Wendover Ave # 300 Suite 320 Greensboro NC 27408,1,700,no matching place
NY,Hogansburg,1,700,no matching place
WI,"West Bend, Port Washington",1,700,2 distinct places named
CA,MIRA MESA,12,699,no matching place
LA,"10700 LA-44 Convent, LA 70723",1,698,no matching place
IL,"300 Shelhouse Rantoul, IL 61866",1,696,no matching place
IN,Walesboro,1,694,no matching place
IL,"Peoria County Courthouse 324 Main St., Room 503 Peoria, IL 61602",1,692,no matching place
IN,"Indianapolis, Wakarusa, Tipton, Sullivan, Rushville, Peru, LaGrange, and Huntington",1,691,8 distinct places named
VA,"Fairfax, Franconia, Lorton, Alexandria & Falls church VA",1,691,5 distinct places named
MI,"Grandville, Michigan; Livonia, Michigan; Rochester Hills, Michigan; and Clinton, Michigan",1,688,3 distinct places named
