state,source,notice_year,notices,workers
FL,https://web.archive.org/web/20140601000000/http://www.floridajobs.org/react/warn.asp?year=2013,2013,134,16604
FL,https://web.archive.org/web/20150601000000/http://www.floridajobs.org/react/warn.asp?year=2014,2014,99,13786
GA,https://www.tcsg.edu/warn-public-view/,unknown,210,31680
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2019,26,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2020,260,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2021,29,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2022,33,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2023,25,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2024,29,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2025,31,0
HI,https://labor.hawaii.gov/wdc/real-time-warn-updates/,2026,19,0
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2009,15,2967
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2010,3,322
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2011,2,772
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2012,19,935
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2013,8,1000
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2014,14,4718
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2015,9,826
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2016,18,1021
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2017,7,458
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2018,7,1256
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2019,4,449
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2020,35,2119
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2021,3,758
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2022,5,411
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2023,15,831
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2024,10,1280
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2025,13,998
ID,https://www.labor.idaho.gov/businesss/layoff-assistance/,2026,6,658
IL,https://apps.illinoisworknet.com/iebs/api/public/export,unknown,4890,674447
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2008,64,11011
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2009,120,19545
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2010,42,5705
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2011,49,4927
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2012,66,6723
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2013,50,7934
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2014,42,4881
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2015,44,6056
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2016,44,5637
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2017,56,9521
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2018,45,5953
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2019,33,5081
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2020,163,35433
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2021,22,2251
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2022,32,5315
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2023,46,4994
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2024,38,3175
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2025,34,4643
IN,https://www.in.gov/dwd/warn-notices/current-warn-notices/,2026,21,3260
KS,https://www.kansasworks.com/search/warn_lookups,1998,16,964
KS,https://www.kansasworks.com/search/warn_lookups,2001,24,921
KS,https://www.kansasworks.com/search/warn_lookups,2006,23,889
KS,https://www.kansasworks.com/search/warn_lookups,2007,17,633
KS,https://www.kansasworks.com/search/warn_lookups,2008,25,1650
KS,https://www.kansasworks.com/search/warn_lookups,2009,25,1322
KS,https://www.kansasworks.com/search/warn_lookups,2012,25,632
KS,https://www.kansasworks.com/search/warn_lookups,2019,19,661
KS,https://www.kansasworks.com/search/warn_lookups,2020,25,4646
KS,https://www.kansasworks.com/search/warn_lookups,2026,7,533
LA,https://www.laworks.net/Downloads/WFD/WarnNotices2025.pdf,2025,16,3171
LA,https://www.laworks.net/Downloads/WFD/WarnNotices2025.pdf,unknown,1,103
LA,https://www.laworks.net/Downloads/WFD/WarnNotices2026.pdf,2025,1,121
LA,https://www.laworks.net/Downloads/WFD/WarnNotices2026.pdf,2026,13,1783
