state,source,notice_year,notices,workers
MA,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,unknown,173,27132
MA,https://www.mass.gov/info-details/worker-adjustment-and-retraining-notification-act-warn-layoff-and-closure-updates,unknown,377,31065
MD,https://www.dllr.state.md.us/employment/warn.shtml,2010,42,6288
MD,https://www.dllr.state.md.us/employment/warn.shtml,2011,115,6175
MD,https://www.dllr.state.md.us/employment/warn.shtml,2012,45,7117
MD,https://www.dllr.state.md.us/employment/warn.shtml,2013,37,3699
MD,https://www.dllr.state.md.us/employment/warn.shtml,2014,29,3459
MD,https://www.dllr.state.md.us/employment/warn.shtml,2015,32,3277
MD,https://www.dllr.state.md.us/employment/warn.shtml,2016,48,5405
MD,https://www.dllr.state.md.us/employment/warn.shtml,2017,39,2555
MD,https://www.dllr.state.md.us/employment/warn.shtml,2018,44,3666
MD,https://www.dllr.state.md.us/employment/warn.shtml,2019,66,5902
MD,https://www.dllr.state.md.us/employment/warn.shtml,2020,378,30149
MD,https://www.dllr.state.md.us/employment/warn.shtml,2021,42,2573
MD,https://www.dllr.state.md.us/employment/warn.shtml,2022,89,7022
MD,https://www.dllr.state.md.us/employment/warn.shtml,2023,75,5691
MD,https://www.dllr.state.md.us/employment/warn.shtml,2024,84,7309
MD,https://www.dllr.state.md.us/employment/warn.shtml,2025,153,12392
MD,https://www.dllr.state.md.us/employment/warn.shtml,2026,80,5369
ME,https://joblink.maine.gov/search/warn_lookups,2014,3,895
ME,https://joblink.maine.gov/search/warn_lookups,2021,2,396
ME,https://joblink.maine.gov/search/warn_lookups,2026,4,116
MI,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,unknown,103,13164
MN,https://mn.gov/deed/business/layoff-resources/warn-archive/,unknown,969,42460
MO,https://jobs.mo.gov/warn/,2025,49,4783
MO,https://jobs.mo.gov/warn/,2026,23,2604
MS,https://mdes.ms.gov/information-center/warn-information/,2013,1,150
MS,https://mdes.ms.gov/information-center/warn-information/,2020,18,1307
MS,https://mdes.ms.gov/information-center/warn-information/,2021,17,1573
MS,https://mdes.ms.gov/information-center/warn-information/,2022,30,3976
MS,https://mdes.ms.gov/information-center/warn-information/,2023,26,2541
MS,https://mdes.ms.gov/information-center/warn-information/,2024,15,1483
MS,https://mdes.ms.gov/information-center/warn-information/,2025,23,1888
MS,https://mdes.ms.gov/information-center/warn-information/,2026,12,1804
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2015,4,546
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2016,4,200
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2017,1,80
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2018,1,1
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2020,12,714
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2021,1,99
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2023,4,260
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2024,6,1110
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2025,9,792
MT,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,2026,1,77
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2014,55,8428
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2015,49,5460
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2016,75,11779
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2017,52,7495
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2018,107,11620
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2019,70,8056
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2020,369,30221
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2021,48,5171
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2022,43,4206
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2023,103,9058
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2024,79,8183
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2025,89,7365
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2026,54,5256
NC,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,unknown,6,0
ND,https://www.jobsnd.com/documents,2015,7,416
ND,https://www.jobsnd.com/documents,2016,10,875
ND,https://www.jobsnd.com/documents,2017,4,887
ND,https://www.jobsnd.com/documents,2018,2,165
ND,https://www.jobsnd.com/documents,2019,1,95
ND,https://www.jobsnd.com/documents,2020,15,1560
ND,https://www.jobsnd.com/documents,2022,2,974
ND,https://www.jobsnd.com/documents,2023,5,130
ND,https://www.jobsnd.com/documents,2024,3,436
ND,https://www.jobsnd.com/documents,2025,4,552
ND,https://www.jobsnd.com/documents,2026,1,47
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2010,6,1013
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2011,47,2699
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2012,49,3309
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2013,47,3201
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2014,40,1538
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2015,113,3587
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2016,114,2677
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2017,130,3132
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2018,137,3372
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2019,204,5091
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2023,18,1165
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2024,9,856
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2025,14,8650
NE,https://dol.nebraska.gov/ReemploymentServices/LayoffServices/LayoffsAndDownsizingWARN,2026,5,1052
NJ,https://www.nj.gov/labor/employer-services/warn/,unknown,2327,350533
NM,https://www.dws.state.nm.us/Rapid-Response,2016,17,2267
NM,https://www.dws.state.nm.us/Rapid-Response,2017,5,942
NM,https://www.dws.state.nm.us/Rapid-Response,2018,8,1222
NM,https://www.dws.state.nm.us/Rapid-Response,2019,11,2144
NM,https://www.dws.state.nm.us/Rapid-Response,2020,27,3508
NM,https://www.dws.state.nm.us/Rapid-Response,2021,7,874
NM,https://www.dws.state.nm.us/Rapid-Response,2022,13,818
NM,https://www.dws.state.nm.us/Rapid-Response,2023,15,1689
NM,https://www.dws.state.nm.us/Rapid-Response,2024,6,672
NM,https://www.dws.state.nm.us/Rapid-Response,2025,4,655
NM,https://www.dws.state.nm.us/Rapid-Response,2026,1,51
NM,https://www.dws.state.nm.us/Rapid-Response,unknown,1,0
NV,https://detr.nv.gov/Page/WARN,unknown,296,35892
NY,https://dol.ny.gov/warn-dashboard,2026,168,9665
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=1316,2006,1,120
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=1499,2007,1,54
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=1522,2007,1,46
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=1950,2008,1,512
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2006,2008,1,8
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2007,2009,1,30
