state,source,notice_year,reason,rows
NY,agency-cache:NY,2015,coalesced_same_key_content,4
NY,agency-cache:NY,2015,conflicting_same_key,39
OH,agency-cache:OH,2002,conflicting_same_key,4
OH,agency-cache:OH,2003,coalesced_same_key_content,2
OH,agency-cache:OH,2003,conflicting_same_key,2
OH,agency-cache:OH,2005,conflicting_same_key,2
OH,agency-cache:OH,2006,conflicting_same_key,2
OH,agency-cache:OH,2012,coalesced_same_key_content,25
OH,agency-cache:OH,2012,conflicting_same_key,6
OK,raw/ok.csv,2002,coalesced_same_key_content,1
OK,raw/ok.csv,2007,coalesced_same_key_content,2
OK,raw/ok.csv,2008,coalesced_same_key_content,2
OK,raw/ok.csv,2009,coalesced_same_key_content,1
OK,raw/ok.csv,2020,coalesced_same_key_content,11
OK,raw/ok.csv,2023,coalesced_same_key_content,1
OR,raw/or.csv,unknown,missing_source_file,1
RI,raw/ri.csv,unknown,parse_failure,1
TX,agency/tx,unknown,anomalous_source_effective_year_requires_review,3
TX,agency/tx,unknown,no_current_raw_match,1
TX,agency/tx,unknown,same_key_version_raw_conflict,1
TX,raw/tx.csv,2020,coalesced_same_key_content,3
TX,raw/tx.csv,2023,coalesced_same_key_content,226
TX,raw/tx.csv,2024,coalesced_same_key_content,1
WI,agency-cache:WI,1997,conflicting_same_key,4
WI,agency-cache:WI,1998,conflicting_same_key,2
WI,agency-cache:WI,2000,coalesced_same_key_content,2
WI,agency-cache:WI,2000,conflicting_same_key,2
WI,agency-cache:WI,2001,conflicting_same_key,12
WI,agency-cache:WI,2002,conflicting_same_key,8
WI,agency-cache:WI,2003,conflicting_same_key,14
WI,agency-cache:WI,2004,coalesced_same_key_content,2
WI,agency-cache:WI,2004,conflicting_same_key,6
WI,agency-cache:WI,2005,coalesced_same_key_content,6
WI,agency-cache:WI,2005,conflicting_same_key,2
WI,agency-cache:WI,2006,conflicting_same_key,4
WI,agency-cache:WI,2007,conflicting_same_key,3
WI,agency-cache:WI,2008,conflicting_same_key,16
WI,agency-cache:WI,2009,coalesced_same_key_content,1
WI,agency-cache:WI,2009,conflicting_same_key,41
WI,agency-cache:WI,2010,conflicting_same_key,10
WI,agency-cache:WI,2011,coalesced_same_key_content,4
WI,agency-cache:WI,2011,conflicting_same_key,6
WI,agency-cache:WI,2012,coalesced_same_key_content,2
WI,agency-cache:WI,2012,conflicting_same_key,19
WI,agency-cache:WI,2013,conflicting_same_key,2
WI,agency-cache:WI,2014,coalesced_same_key_content,1
WI,agency-cache:WI,2014,conflicting_same_key,10
