iebs_id,old_notice_id,old_version,old_dedupe_key,old_raw_record_hash,old_employer_name,old_workers,new_notice_id,new_dedupe_key,new_source_notice_id,new_employer_name,new_workers,status
20021115001,22558,1,585931cc84276c2abedc45962d1d7c84d4e53ea1,c4c789c2456a12f371f7049eff819b9884080a5c,"PBM CONCRETE, INC.",102,27039,bb8bd5b75be50e4bf6f28803196ed48de98ef6f2,0430b9d7862434214f67b0b5f2b543abbce39b0e08eeafc48a88cd4a,"PBM CONCRETE, INC.",102,matched_iebs_id
20021118001,22559,1,1af9e96b1964194f85598dbefd675fc946798883,5421a38cf560f8107e5fc2e1c461b17cba873eea,Globe Aviation,,27040,7db07da38f3be427439074dca87a66eb197e1090,e9cbfd4407dd8eef4bf5105cfde437b9488e07116d595180c0c0d8cd,Globe Aviation,,matched_iebs_id
20021118002,22289,1,cb6562bf71ab716667b9dc93afb3edae1ce8589d,cf4ba2ea32214c1833d4b4e6bebe93d147f64883,AMERICAN EXPRESS,,26769,6cf7b66b2bbf5925bddb2f9fbb74d355a8d00ddc,07ee5df6fc858a4a8792c28408850fb2fed567343cfaef035c844cdd,AMERICAN EXPRESS,,matched_iebs_id
20021118003,,,,,,,26770,b6e9e4a9178d2fc170a69b367ad9a43e7fa6c8ed,07ee5df6fc858a4a8792c28408850fb2fed567343cfaef035c844cdd,AMERICAN EXPRESS,,new_in_frozen_source
20021119001,22560,1,6d46395999732ef2133120e0d86b46092fb78aca,33a054e16a80dfde20e5c7a15dc4babf67ef0d87,"UBID.COM, INC.",52,27041,9c2750f8de7e6068d2c8f100c9180e63c488171d,c30b152d9af8b020e49bb10e5a6c3958441a9fbcb00ddf5e393f7228,"UBID.COM, INC.",52,matched_iebs_id
20021119001,22560,2,6d46395999732ef2133120e0d86b46092fb78aca,fbd37bf7d1aa06c804d5c1e3b4f3eb83a7b5b767,"UBID.COM, INC.",52,27041,9c2750f8de7e6068d2c8f100c9180e63c488171d,c30b152d9af8b020e49bb10e5a6c3958441a9fbcb00ddf5e393f7228,"UBID.COM, INC.",52,matched_iebs_id
20021119002,22561,1,4638d89366a31163acc2f2211005cd0e8591da8f,90955afb7f725d15831d3b40428f32ab70b71b6e,"RELIANT BOLT, INC.",135,27042,92ed8f822a1bb30185e43d161fd71c6156d48669,d09c4343458b11a378ebcc212bb520c0a724cec7581b2dc96e6573e2,"RELIANT BOLT, INC.",135,matched_iebs_id
20021119003,22562,1,c1819307795c365e027968f9e702b4e9ca48de8e,23ff7f6f919dea0ccf0c6592b081b7abab8e7efb,ANDREW CORPORATION,122,27043,3d3b4e1e06381e65f2251880845c8a7ec34a1629,2bf2e664678b0b5c99de968649cb9d85a6ad09b050315e50ee64ba65,ANDREW CORPORATION,122,matched_iebs_id
20021119004,22563,1,88260b3395ac35e0e81994e0f685f1b3894353a9,f52ffc8446233060d24f4c41eecf45ca7597dfde,NEWELL WINDOW FURNISHINGS INC,50,27044,129d95f2a829e9a737347ef4c295843a4f74b92d,115d4294d022eb1d9aa2637e9f0e08015f4ab69cbbb2c48ede13d4ba,NEWELL WINDOW FURNISHINGS INC,50,matched_iebs_id
20021120001,22564,1,a48cba5dcad967aaef44a2a2b7be6553a8359041,eb471659b18fcbb2f1e261b463108fae188f4d10,TCF National Bank,115,27045,7f42f65ec2e6bee69d7c7f544af046b3f2c60881,23139caeb5fd00c483a58be4300369219fd043bb4e29991f9ac3f1ac,TCF National Bank,115,matched_iebs_id
